{'loss': 2.4684, 'grad_norm': 73.61078643798828, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 13824}
{'loss': 2.7717, 'grad_norm': 82.66155242919922, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 28160, 'step': 2, 'step_time_sec': 1.64, 'avg_step_time_sec': 1.64, 'time_to_completion_sec': 29.57, 'estimated_total_time_sec': 32.85, 'step_peak_memory_allocated_MB': 40727.18, 'step_peak_memory_reserved_MB': 56902.0, 'total_peak_memory_allocated_MB': 40727.18, 'total_peak_memory_reserved_MB': 56902.0, 'step_tokens_per_second': 8727.89, 'avg_tokens_per_second': 8727.89}
{'loss': 1.9916, 'grad_norm': 39.510986328125, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 48128, 'step': 3, 'step_time_sec': 3.64, 'avg_step_time_sec': 2.64, 'time_to_completion_sec': 44.92, 'estimated_total_time_sec': 52.85, 'step_peak_memory_allocated_MB': 40727.17, 'step_peak_memory_reserved_MB': 58540.0, 'total_peak_memory_allocated_MB': 40727.18, 'total_peak_memory_reserved_MB': 58540.0, 'step_tokens_per_second': 5482.47, 'avg_tokens_per_second': 6491.18}
{'loss': 1.8622, 'grad_norm': 18.075271606445312, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 62464, 'step': 4, 'step_time_sec': 1.46, 'avg_step_time_sec': 2.25, 'time_to_completion_sec': 35.98, 'estimated_total_time_sec': 44.97, 'step_peak_memory_allocated_MB': 40727.19, 'step_peak_memory_reserved_MB': 66012.0, 'total_peak_memory_allocated_MB': 40727.19, 'total_peak_memory_reserved_MB': 66012.0, 'step_tokens_per_second': 9813.38, 'avg_tokens_per_second': 7210.66}
{'loss': 1.7116, 'grad_norm': 20.224430084228516, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 77056, 'step': 5, 'step_time_sec': 2.13, 'avg_step_time_sec': 2.22, 'time_to_completion_sec': 33.29, 'estimated_total_time_sec': 44.38, 'step_peak_memory_allocated_MB': 40727.18, 'step_peak_memory_reserved_MB': 66012.0, 'total_peak_memory_allocated_MB': 40727.19, 'total_peak_memory_reserved_MB': 66012.0, 'step_tokens_per_second': 6846.96, 'avg_tokens_per_second': 7123.34}
{'loss': 1.6461, 'grad_norm': 14.032816886901855, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 92928, 'step': 6, 'step_time_sec': 2.38, 'avg_step_time_sec': 2.25, 'time_to_completion_sec': 31.52, 'estimated_total_time_sec': 45.03, 'step_peak_memory_allocated_MB': 44816.72, 'step_peak_memory_reserved_MB': 77498.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 6667.63, 'avg_tokens_per_second': 7026.98}
{'loss': 1.5952, 'grad_norm': 14.823553085327148, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.01, 'num_input_tokens_seen': 110848, 'step': 7, 'step_time_sec': 3.39, 'avg_step_time_sec': 2.44, 'time_to_completion_sec': 31.75, 'estimated_total_time_sec': 48.84, 'step_peak_memory_allocated_MB': 40727.2, 'step_peak_memory_reserved_MB': 62666.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 5278.46, 'avg_tokens_per_second': 6621.84}
{'loss': 1.5593, 'grad_norm': 14.636177062988281, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 127488, 'step': 8, 'step_time_sec': 2.04, 'avg_step_time_sec': 2.39, 'time_to_completion_sec': 28.62, 'estimated_total_time_sec': 47.7, 'step_peak_memory_allocated_MB': 40727.18, 'step_peak_memory_reserved_MB': 62666.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 8144.92, 'avg_tokens_per_second': 6808.22}
{'loss': 1.7444, 'grad_norm': 14.232514381408691, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 138752, 'step': 9, 'step_time_sec': 1.38, 'avg_step_time_sec': 2.26, 'time_to_completion_sec': 24.86, 'estimated_total_time_sec': 45.19, 'step_peak_memory_allocated_MB': 40727.17, 'step_peak_memory_reserved_MB': 62668.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 8150.07, 'avg_tokens_per_second': 6910.81}
{'loss': 1.5864, 'grad_norm': 12.266149520874023, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 153088, 'step': 10, 'step_time_sec': 1.99, 'avg_step_time_sec': 2.23, 'time_to_completion_sec': 22.29, 'estimated_total_time_sec': 44.58, 'step_peak_memory_allocated_MB': 43217.49, 'step_peak_memory_reserved_MB': 62668.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 7220.01, 'avg_tokens_per_second': 6941.41}
{'loss': 1.5842, 'grad_norm': 12.922281265258789, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 171776, 'step': 11, 'step_time_sec': 2.16, 'avg_step_time_sec': 2.22, 'time_to_completion_sec': 20.0, 'estimated_total_time_sec': 44.45, 'step_peak_memory_allocated_MB': 44816.72, 'step_peak_memory_reserved_MB': 62668.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 8645.02, 'avg_tokens_per_second': 7107.12}
{'loss': 1.5806, 'grad_norm': 12.529788970947266, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.02, 'num_input_tokens_seen': 187904, 'step': 12, 'step_time_sec': 1.7, 'avg_step_time_sec': 2.18, 'time_to_completion_sec': 17.4, 'estimated_total_time_sec': 43.51, 'step_peak_memory_allocated_MB': 40727.19, 'step_peak_memory_reserved_MB': 62668.0, 'total_peak_memory_allocated_MB': 44816.72, 'total_peak_memory_reserved_MB': 77498.0, 'step_tokens_per_second': 9467.95, 'avg_tokens_per_second': 7275.18}
