{'loss': 2.6808, 'grad_norm': 79.9651870727539, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 15104}
{'loss': 2.2897, 'grad_norm': 76.67234802246094, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 27136, 'step': 2, 'step_time_sec': 1.34, 'avg_step_time_sec': 1.34, 'time_to_completion_sec': 24.13, 'estimated_total_time_sec': 26.82, 'step_peak_memory_allocated_MB': 40728.05, 'step_peak_memory_reserved_MB': 53448.0, 'total_peak_memory_allocated_MB': 40728.05, 'total_peak_memory_reserved_MB': 53448.0, 'step_tokens_per_second': 8973.95, 'avg_tokens_per_second': 8973.95}
{'loss': 1.9441, 'grad_norm': 43.79515075683594, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 43776, 'step': 3, 'step_time_sec': 1.79, 'avg_step_time_sec': 1.57, 'time_to_completion_sec': 26.65, 'estimated_total_time_sec': 31.35, 'step_peak_memory_allocated_MB': 40728.09, 'step_peak_memory_reserved_MB': 53448.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 53448.0, 'step_tokens_per_second': 9273.23, 'avg_tokens_per_second': 9145.24}
{'loss': 1.8591, 'grad_norm': 17.200843811035156, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 58624, 'step': 4, 'step_time_sec': 1.73, 'avg_step_time_sec': 1.62, 'time_to_completion_sec': 25.94, 'estimated_total_time_sec': 32.42, 'step_peak_memory_allocated_MB': 40728.03, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8590.89, 'avg_tokens_per_second': 8948.24}
{'loss': 1.5857, 'grad_norm': 15.948490142822266, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 71424, 'step': 5, 'step_time_sec': 1.39, 'avg_step_time_sec': 1.56, 'time_to_completion_sec': 23.45, 'estimated_total_time_sec': 31.26, 'step_peak_memory_allocated_MB': 40728.06, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 9213.63, 'avg_tokens_per_second': 9007.21}
{'loss': 1.7036, 'grad_norm': 15.142139434814453, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 85760, 'step': 6, 'step_time_sec': 1.63, 'avg_step_time_sec': 1.58, 'time_to_completion_sec': 22.08, 'estimated_total_time_sec': 31.55, 'step_peak_memory_allocated_MB': 40728.07, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8773.04, 'avg_tokens_per_second': 8958.69}
{'loss': 1.5813, 'grad_norm': 12.523837089538574, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.01, 'num_input_tokens_seen': 105984, 'step': 7, 'step_time_sec': 2.23, 'avg_step_time_sec': 1.69, 'time_to_completion_sec': 21.93, 'estimated_total_time_sec': 33.73, 'step_peak_memory_allocated_MB': 40728.06, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 9055.5, 'avg_tokens_per_second': 8980.05}
{'loss': 1.6873, 'grad_norm': 13.996442794799805, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 121600, 'step': 8, 'step_time_sec': 1.88, 'avg_step_time_sec': 1.71, 'time_to_completion_sec': 20.58, 'estimated_total_time_sec': 34.3, 'step_peak_memory_allocated_MB': 40728.04, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8285.71, 'avg_tokens_per_second': 8871.05}
{'loss': 1.615, 'grad_norm': 15.02141284942627, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 134400, 'step': 9, 'step_time_sec': 1.41, 'avg_step_time_sec': 1.68, 'time_to_completion_sec': 18.44, 'estimated_total_time_sec': 33.53, 'step_peak_memory_allocated_MB': 40728.03, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 9100.18, 'avg_tokens_per_second': 8895.08}
{'loss': 1.4955, 'grad_norm': 13.541086196899414, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 152832, 'step': 10, 'step_time_sec': 2.16, 'avg_step_time_sec': 1.73, 'time_to_completion_sec': 17.31, 'estimated_total_time_sec': 34.61, 'step_peak_memory_allocated_MB': 40728.07, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8517.5, 'avg_tokens_per_second': 8842.62}
{'loss': 1.5832, 'grad_norm': 14.682003021240234, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 167936, 'step': 11, 'step_time_sec': 1.75, 'avg_step_time_sec': 1.73, 'time_to_completion_sec': 15.59, 'estimated_total_time_sec': 34.66, 'step_peak_memory_allocated_MB': 40728.09, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.09, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8620.53, 'avg_tokens_per_second': 8820.16}
{'loss': 1.6141, 'grad_norm': 13.095953941345215, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.02, 'num_input_tokens_seen': 189440, 'step': 12, 'step_time_sec': 2.14, 'avg_step_time_sec': 1.77, 'time_to_completion_sec': 14.16, 'estimated_total_time_sec': 35.39, 'step_peak_memory_allocated_MB': 40728.12, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.12, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 10050.86, 'avg_tokens_per_second': 8955.42}
{'loss': 1.5773, 'grad_norm': 11.917375564575195, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.02, 'num_input_tokens_seen': 202752, 'step': 13, 'step_time_sec': 1.74, 'avg_step_time_sec': 1.77, 'time_to_completion_sec': 12.37, 'estimated_total_time_sec': 35.34, 'step_peak_memory_allocated_MB': 40728.03, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.12, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 7669.61, 'avg_tokens_per_second': 8850.16}
{'loss': 1.5924, 'grad_norm': 13.183478355407715, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.02, 'num_input_tokens_seen': 215296, 'step': 14, 'step_time_sec': 1.48, 'avg_step_time_sec': 1.74, 'time_to_completion_sec': 10.47, 'estimated_total_time_sec': 34.89, 'step_peak_memory_allocated_MB': 40728.07, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.12, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 8491.69, 'avg_tokens_per_second': 8826.82}
{'loss': 1.4387, 'grad_norm': 13.366923332214355, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.02, 'num_input_tokens_seen': 231680, 'step': 15, 'step_time_sec': 1.78, 'avg_step_time_sec': 1.75, 'time_to_completion_sec': 8.74, 'estimated_total_time_sec': 34.94, 'step_peak_memory_allocated_MB': 40728.04, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.12, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 9199.52, 'avg_tokens_per_second': 8853.95}
{'loss': 1.4692, 'grad_norm': 13.841438293457031, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.02, 'num_input_tokens_seen': 251392, 'step': 16, 'step_time_sec': 2.6, 'avg_step_time_sec': 1.8, 'time_to_completion_sec': 7.22, 'estimated_total_time_sec': 36.09, 'step_peak_memory_allocated_MB': 40728.03, 'step_peak_memory_reserved_MB': 54952.0, 'total_peak_memory_allocated_MB': 40728.12, 'total_peak_memory_reserved_MB': 54952.0, 'step_tokens_per_second': 7570.51, 'avg_tokens_per_second': 8730.48}
{'loss': 1.5371, 'grad_norm': 12.139819145202637, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.02, 'num_input_tokens_seen': 272384, 'step': 17, 'step_time_sec': 2.25, 'avg_step_time_sec': 1.83, 'time_to_completion_sec': 5.5, 'estimated_total_time_sec': 36.65, 'step_peak_memory_allocated_MB': 40728.13, 'step_peak_memory_reserved_MB': 56452.0, 'total_peak_memory_allocated_MB': 40728.13, 'total_peak_memory_reserved_MB': 56452.0, 'step_tokens_per_second': 9318.13, 'avg_tokens_per_second': 8775.63}
{'loss': 1.3997, 'grad_norm': 10.436741828918457, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.02, 'num_input_tokens_seen': 293120, 'step': 18, 'step_time_sec': 2.42, 'avg_step_time_sec': 1.87, 'time_to_completion_sec': 3.73, 'estimated_total_time_sec': 37.34, 'step_peak_memory_allocated_MB': 40728.03, 'step_peak_memory_reserved_MB': 56452.0, 'total_peak_memory_allocated_MB': 40728.13, 'total_peak_memory_reserved_MB': 56452.0, 'step_tokens_per_second': 8566.56, 'avg_tokens_per_second': 8759.69}
{'loss': 1.5917, 'grad_norm': 10.165861129760742, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.03, 'num_input_tokens_seen': 307968, 'step': 19, 'step_time_sec': 1.59, 'avg_step_time_sec': 1.85, 'time_to_completion_sec': 1.85, 'estimated_total_time_sec': 37.04, 'step_peak_memory_allocated_MB': 40728.06, 'step_peak_memory_reserved_MB': 56452.0, 'total_peak_memory_allocated_MB': 40728.13, 'total_peak_memory_reserved_MB': 56452.0, 'step_tokens_per_second': 9318.08, 'avg_tokens_per_second': 8786.38}
{'loss': 1.3602, 'grad_norm': 11.49178695678711, 'learning_rate': 0.0, 'epoch': 0.03, 'num_input_tokens_seen': 323328, 'step': 20, 'step_time_sec': 1.66, 'avg_step_time_sec': 1.84, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 36.83, 'step_peak_memory_allocated_MB': 40728.08, 'step_peak_memory_reserved_MB': 56452.0, 'total_peak_memory_allocated_MB': 40728.13, 'total_peak_memory_reserved_MB': 56452.0, 'step_tokens_per_second': 9266.3, 'avg_tokens_per_second': 8809.12}
{'train_runtime': 40.2142, 'train_samples_per_second': 31.83, 'train_steps_per_second': 0.497, 'train_loss': 1.6802871227264404, 'epoch': 0.03, 'num_input_tokens_seen': 323328, 'step': 20, 'step_time_sec': 1.66, 'avg_step_time_sec': 1.84, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 36.83, 'step_peak_memory_allocated_MB': 40728.08, 'step_peak_memory_reserved_MB': 56452.0, 'total_peak_memory_allocated_MB': 40728.13, 'total_peak_memory_reserved_MB': 56452.0, 'step_tokens_per_second': 9266.3, 'avg_tokens_per_second': 8809.12}
