{'loss': 2.5594, 'grad_norm': 77.1527099609375, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 55296}
{'loss': 2.5326, 'grad_norm': 72.92108154296875, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 114432, 'step': 2, 'step_time_sec': 5.26, 'avg_step_time_sec': 5.26, 'time_to_completion_sec': 94.64, 'estimated_total_time_sec': 105.15, 'step_peak_memory_allocated_MB': 40799.74, 'step_peak_memory_reserved_MB': 60352.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60352.0, 'step_tokens_per_second': 11247.87, 'avg_tokens_per_second': 11247.87}
{'loss': 1.9875, 'grad_norm': 37.98436737060547, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 176640, 'step': 3, 'step_time_sec': 5.8, 'avg_step_time_sec': 5.53, 'time_to_completion_sec': 93.96, 'estimated_total_time_sec': 110.54, 'step_peak_memory_allocated_MB': 40728.31, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 10731.9, 'avg_tokens_per_second': 10977.3}
{'loss': 1.7371, 'grad_norm': 17.714588165283203, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 240384, 'step': 4, 'step_time_sec': 6.34, 'avg_step_time_sec': 5.8, 'time_to_completion_sec': 92.74, 'estimated_total_time_sec': 115.93, 'step_peak_memory_allocated_MB': 40728.29, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 10061.4, 'avg_tokens_per_second': 10643.62}
{'loss': 1.6097, 'grad_norm': 11.48784351348877, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 294912, 'step': 5, 'step_time_sec': 5.09, 'avg_step_time_sec': 5.62, 'time_to_completion_sec': 84.28, 'estimated_total_time_sec': 112.38, 'step_peak_memory_allocated_MB': 40728.36, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 10721.06, 'avg_tokens_per_second': 10661.14}
{'loss': 1.5508, 'grad_norm': 9.237621307373047, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 347904, 'step': 6, 'step_time_sec': 5.83, 'avg_step_time_sec': 5.66, 'time_to_completion_sec': 79.25, 'estimated_total_time_sec': 113.22, 'step_peak_memory_allocated_MB': 40728.17, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 9091.41, 'avg_tokens_per_second': 10337.88}
{'loss': 1.5096, 'grad_norm': 9.512243270874023, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 405504, 'step': 7, 'step_time_sec': 5.76, 'avg_step_time_sec': 5.68, 'time_to_completion_sec': 73.81, 'estimated_total_time_sec': 113.55, 'step_peak_memory_allocated_MB': 40728.19, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 10000.18, 'avg_tokens_per_second': 10280.78}
{'loss': 1.5426, 'grad_norm': 9.04790210723877, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 463872, 'step': 8, 'step_time_sec': 5.09, 'avg_step_time_sec': 5.59, 'time_to_completion_sec': 67.13, 'estimated_total_time_sec': 111.88, 'step_peak_memory_allocated_MB': 40728.36, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 11460.8, 'avg_tokens_per_second': 10434.25}
{'loss': 1.5478, 'grad_norm': 7.875371932983398, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 530688, 'step': 9, 'step_time_sec': 6.61, 'avg_step_time_sec': 5.72, 'time_to_completion_sec': 62.93, 'estimated_total_time_sec': 114.41, 'step_peak_memory_allocated_MB': 40728.27, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 10111.36, 'avg_tokens_per_second': 10387.63}
{'loss': 1.6022, 'grad_norm': 7.744280815124512, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 588288, 'step': 10, 'step_time_sec': 5.02, 'avg_step_time_sec': 5.64, 'time_to_completion_sec': 56.43, 'estimated_total_time_sec': 112.86, 'step_peak_memory_allocated_MB': 40728.33, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 11470.66, 'avg_tokens_per_second': 10494.72}
{'loss': 1.5213, 'grad_norm': 6.987046241760254, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 652800, 'step': 11, 'step_time_sec': 7.21, 'avg_step_time_sec': 5.8, 'time_to_completion_sec': 52.19, 'estimated_total_time_sec': 115.98, 'step_peak_memory_allocated_MB': 40728.27, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 8953.3, 'avg_tokens_per_second': 10303.2}
{'loss': 1.602, 'grad_norm': 7.35996675491333, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 714240, 'step': 12, 'step_time_sec': 4.87, 'avg_step_time_sec': 5.71, 'time_to_completion_sec': 45.72, 'estimated_total_time_sec': 114.29, 'step_peak_memory_allocated_MB': 40728.33, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 12625.34, 'avg_tokens_per_second': 10482.97}
{'loss': 1.5029, 'grad_norm': 6.754979133605957, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 780288, 'step': 13, 'step_time_sec': 7.21, 'avg_step_time_sec': 5.84, 'time_to_completion_sec': 40.87, 'estimated_total_time_sec': 116.78, 'step_peak_memory_allocated_MB': 40728.24, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 9164.81, 'avg_tokens_per_second': 10347.39}
{'loss': 1.4192, 'grad_norm': 7.2886857986450195, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.06, 'num_input_tokens_seen': 826368, 'step': 14, 'step_time_sec': 4.01, 'avg_step_time_sec': 5.7, 'time_to_completion_sec': 34.19, 'estimated_total_time_sec': 113.95, 'step_peak_memory_allocated_MB': 40728.26, 'step_peak_memory_reserved_MB': 60620.0, 'total_peak_memory_allocated_MB': 40799.74, 'total_peak_memory_reserved_MB': 60620.0, 'step_tokens_per_second': 11504.12, 'avg_tokens_per_second': 10409.94}
