{'loss': 1.8984, 'grad_norm': 23.295602798461914, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 59136}
{'loss': 1.7789, 'grad_norm': 22.64014434814453, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 112128, 'step': 2, 'step_time_sec': 4.09, 'avg_step_time_sec': 4.09, 'time_to_completion_sec': 73.6, 'estimated_total_time_sec': 81.78, 'step_peak_memory_allocated_MB': 38309.17, 'step_peak_memory_reserved_MB': 54522.0, 'total_peak_memory_allocated_MB': 38309.17, 'total_peak_memory_reserved_MB': 54522.0, 'step_tokens_per_second': 12959.92, 'avg_tokens_per_second': 12959.92}
{'loss': 1.7964, 'grad_norm': 20.062437057495117, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 171264, 'step': 3, 'step_time_sec': 5.09, 'avg_step_time_sec': 4.59, 'time_to_completion_sec': 78.06, 'estimated_total_time_sec': 91.84, 'step_peak_memory_allocated_MB': 38309.19, 'step_peak_memory_reserved_MB': 57412.0, 'total_peak_memory_allocated_MB': 38309.19, 'total_peak_memory_reserved_MB': 57412.0, 'step_tokens_per_second': 11607.28, 'avg_tokens_per_second': 12209.53}
{'loss': 1.5518, 'grad_norm': 16.769145965576172, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 232704, 'step': 4, 'step_time_sec': 4.95, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 75.36, 'estimated_total_time_sec': 94.2, 'step_peak_memory_allocated_MB': 38309.26, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 12420.22, 'avg_tokens_per_second': 12283.29}
{'loss': 1.4917, 'grad_norm': 11.3651123046875, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 291072, 'step': 5, 'step_time_sec': 4.13, 'avg_step_time_sec': 4.57, 'time_to_completion_sec': 68.48, 'estimated_total_time_sec': 91.3, 'step_peak_memory_allocated_MB': 38309.12, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 14132.91, 'avg_tokens_per_second': 12701.61}
{'loss': 1.4627, 'grad_norm': 6.9058051109313965, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 336384, 'step': 6, 'step_time_sec': 3.73, 'avg_step_time_sec': 4.4, 'time_to_completion_sec': 61.59, 'estimated_total_time_sec': 87.98, 'step_peak_memory_allocated_MB': 38309.09, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 12132.19, 'avg_tokens_per_second': 12604.92}
{'loss': 1.4579, 'grad_norm': 5.668811321258545, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 399360, 'step': 7, 'step_time_sec': 4.44, 'avg_step_time_sec': 4.41, 'time_to_completion_sec': 57.29, 'estimated_total_time_sec': 88.13, 'step_peak_memory_allocated_MB': 38309.12, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 14170.16, 'avg_tokens_per_second': 12868.03}
{'loss': 1.4643, 'grad_norm': 5.869257926940918, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 451584, 'step': 8, 'step_time_sec': 4.28, 'avg_step_time_sec': 4.39, 'time_to_completion_sec': 52.66, 'estimated_total_time_sec': 87.77, 'step_peak_memory_allocated_MB': 38309.14, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 12198.26, 'avg_tokens_per_second': 12774.69}
{'loss': 1.3402, 'grad_norm': 6.504360198974609, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 506112, 'step': 9, 'step_time_sec': 3.79, 'avg_step_time_sec': 4.31, 'time_to_completion_sec': 47.45, 'estimated_total_time_sec': 86.27, 'step_peak_memory_allocated_MB': 38309.16, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 14396.87, 'avg_tokens_per_second': 12952.73}
{'loss': 1.2881, 'grad_norm': 6.1660847663879395, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 569856, 'step': 10, 'step_time_sec': 6.16, 'avg_step_time_sec': 4.52, 'time_to_completion_sec': 45.19, 'estimated_total_time_sec': 90.38, 'step_peak_memory_allocated_MB': 38309.09, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 10340.59, 'avg_tokens_per_second': 12556.83}
{'loss': 1.3362, 'grad_norm': 10.432544708251953, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 609792, 'step': 11, 'step_time_sec': 3.43, 'avg_step_time_sec': 4.41, 'time_to_completion_sec': 39.69, 'estimated_total_time_sec': 88.2, 'step_peak_memory_allocated_MB': 38309.02, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 11649.13, 'avg_tokens_per_second': 12486.27}
{'loss': 1.256, 'grad_norm': 5.125356674194336, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 662784, 'step': 12, 'step_time_sec': 4.44, 'avg_step_time_sec': 4.41, 'time_to_completion_sec': 35.3, 'estimated_total_time_sec': 88.26, 'step_peak_memory_allocated_MB': 38309.09, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 11933.77, 'avg_tokens_per_second': 12435.73}
{'loss': 1.1805, 'grad_norm': 3.467890739440918, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 712704, 'step': 13, 'step_time_sec': 3.96, 'avg_step_time_sec': 4.38, 'time_to_completion_sec': 30.63, 'estimated_total_time_sec': 87.51, 'step_peak_memory_allocated_MB': 38309.17, 'step_peak_memory_reserved_MB': 59516.0, 'total_peak_memory_allocated_MB': 38309.26, 'total_peak_memory_reserved_MB': 59516.0, 'step_tokens_per_second': 12598.37, 'avg_tokens_per_second': 12448.0}
