{'loss': 8.6287, 'grad_norm': 582.400634765625, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 74752}
{'loss': 8.3473, 'grad_norm': 558.8904418945312, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 166912, 'step': 2, 'step_time_sec': 7.79, 'avg_step_time_sec': 7.79, 'time_to_completion_sec': 140.27, 'estimated_total_time_sec': 155.85, 'step_peak_memory_allocated_MB': 37558.28, 'step_peak_memory_reserved_MB': 56736.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 56736.0, 'step_tokens_per_second': 11826.42, 'avg_tokens_per_second': 11826.42}
{'loss': 4.1158, 'grad_norm': 200.9644317626953, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 251904, 'step': 3, 'step_time_sec': 7.31, 'avg_step_time_sec': 7.55, 'time_to_completion_sec': 128.39, 'estimated_total_time_sec': 151.04, 'step_peak_memory_allocated_MB': 34547.91, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 11624.08, 'avg_tokens_per_second': 11728.47}
{'loss': 2.0296, 'grad_norm': 140.34454345703125, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 345088, 'step': 4, 'step_time_sec': 7.83, 'avg_step_time_sec': 7.65, 'time_to_completion_sec': 122.34, 'estimated_total_time_sec': 152.93, 'step_peak_memory_allocated_MB': 34547.96, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 11893.61, 'avg_tokens_per_second': 11784.88}
{'loss': 1.6903, 'grad_norm': 49.49073791503906, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 430080, 'step': 5, 'step_time_sec': 8.09, 'avg_step_time_sec': 7.76, 'time_to_completion_sec': 116.36, 'estimated_total_time_sec': 155.14, 'step_peak_memory_allocated_MB': 34547.96, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 10506.97, 'avg_tokens_per_second': 11451.73}
{'loss': 1.2491, 'grad_norm': 31.165103912353516, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 530432, 'step': 6, 'step_time_sec': 9.14, 'avg_step_time_sec': 8.03, 'time_to_completion_sec': 112.49, 'estimated_total_time_sec': 160.69, 'step_peak_memory_allocated_MB': 36893.78, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 10973.48, 'avg_tokens_per_second': 11342.86}
{'loss': 1.1624, 'grad_norm': 25.637439727783203, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 604160, 'step': 7, 'step_time_sec': 5.8, 'avg_step_time_sec': 7.66, 'time_to_completion_sec': 99.61, 'estimated_total_time_sec': 153.25, 'step_peak_memory_allocated_MB': 34547.96, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 12707.48, 'avg_tokens_per_second': 11515.07}
{'loss': 1.0709, 'grad_norm': 10.996216773986816, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 685056, 'step': 8, 'step_time_sec': 7.77, 'avg_step_time_sec': 7.68, 'time_to_completion_sec': 92.14, 'estimated_total_time_sec': 153.57, 'step_peak_memory_allocated_MB': 34547.94, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 10406.71, 'avg_tokens_per_second': 11354.77}
{'loss': 1.0172, 'grad_norm': 16.813953399658203, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 764928, 'step': 9, 'step_time_sec': 6.59, 'avg_step_time_sec': 7.54, 'time_to_completion_sec': 82.97, 'estimated_total_time_sec': 150.85, 'step_peak_memory_allocated_MB': 34547.94, 'step_peak_memory_reserved_MB': 57344.0, 'total_peak_memory_allocated_MB': 37558.28, 'total_peak_memory_reserved_MB': 57344.0, 'step_tokens_per_second': 12119.68, 'avg_tokens_per_second': 11438.32}
{'loss': 1.0085, 'grad_norm': 10.966954231262207, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 865280, 'step': 10, 'step_time_sec': 8.72, 'avg_step_time_sec': 7.67, 'time_to_completion_sec': 76.73, 'estimated_total_time_sec': 153.46, 'step_peak_memory_allocated_MB': 41546.57, 'step_peak_memory_reserved_MB': 68582.0, 'total_peak_memory_allocated_MB': 41546.57, 'total_peak_memory_reserved_MB': 68582.0, 'step_tokens_per_second': 11508.87, 'avg_tokens_per_second': 11447.22}
{'loss': 1.0141, 'grad_norm': 6.859863758087158, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 954368, 'step': 11, 'step_time_sec': 8.62, 'avg_step_time_sec': 7.77, 'time_to_completion_sec': 69.91, 'estimated_total_time_sec': 155.37, 'step_peak_memory_allocated_MB': 34780.57, 'step_peak_memory_reserved_MB': 68582.0, 'total_peak_memory_allocated_MB': 41546.57, 'total_peak_memory_reserved_MB': 68582.0, 'step_tokens_per_second': 10329.78, 'avg_tokens_per_second': 11323.16}
{'loss': 1.004, 'grad_norm': 6.520147800445557, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1040384, 'step': 12, 'step_time_sec': 7.57, 'avg_step_time_sec': 7.75, 'time_to_completion_sec': 62.0, 'estimated_total_time_sec': 155.0, 'step_peak_memory_allocated_MB': 36230.21, 'step_peak_memory_reserved_MB': 68582.0, 'total_peak_memory_allocated_MB': 41546.57, 'total_peak_memory_reserved_MB': 68582.0, 'step_tokens_per_second': 11363.14, 'avg_tokens_per_second': 11326.71}
