{'loss': 8.2835, 'grad_norm': 617.2152709960938, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 36352}
{'loss': 8.5802, 'grad_norm': 611.8770751953125, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 75264, 'step': 2, 'step_time_sec': 2.86, 'avg_step_time_sec': 2.86, 'time_to_completion_sec': 51.57, 'estimated_total_time_sec': 57.3, 'step_peak_memory_allocated_MB': 34548.58, 'step_peak_memory_reserved_MB': 44552.0, 'total_peak_memory_allocated_MB': 34548.58, 'total_peak_memory_reserved_MB': 44552.0, 'step_tokens_per_second': 13582.91, 'avg_tokens_per_second': 13582.91}
{'loss': 3.9021, 'grad_norm': 199.29580688476562, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 115200, 'step': 3, 'step_time_sec': 3.96, 'avg_step_time_sec': 3.41, 'time_to_completion_sec': 58.01, 'estimated_total_time_sec': 68.25, 'step_peak_memory_allocated_MB': 34548.74, 'step_peak_memory_reserved_MB': 49480.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49480.0, 'step_tokens_per_second': 10084.15, 'avg_tokens_per_second': 11552.74}
{'loss': 1.9509, 'grad_norm': 79.85397338867188, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 160768, 'step': 4, 'step_time_sec': 3.32, 'avg_step_time_sec': 3.38, 'time_to_completion_sec': 54.11, 'estimated_total_time_sec': 67.64, 'step_peak_memory_allocated_MB': 34548.66, 'step_peak_memory_reserved_MB': 49480.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49480.0, 'step_tokens_per_second': 13722.37, 'avg_tokens_per_second': 12262.86}
{'loss': 1.5824, 'grad_norm': 43.3956184387207, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 196608, 'step': 5, 'step_time_sec': 2.55, 'avg_step_time_sec': 3.17, 'time_to_completion_sec': 47.62, 'estimated_total_time_sec': 63.49, 'step_peak_memory_allocated_MB': 34548.56, 'step_peak_memory_reserved_MB': 49480.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49480.0, 'step_tokens_per_second': 14044.71, 'avg_tokens_per_second': 12620.96}
{'loss': 1.2383, 'grad_norm': 29.940837860107422, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 231424, 'step': 6, 'step_time_sec': 2.89, 'avg_step_time_sec': 3.12, 'time_to_completion_sec': 43.65, 'estimated_total_time_sec': 62.35, 'step_peak_memory_allocated_MB': 34548.58, 'step_peak_memory_reserved_MB': 49480.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49480.0, 'step_tokens_per_second': 12044.02, 'avg_tokens_per_second': 12513.97}
{'loss': 1.0947, 'grad_norm': 12.773537635803223, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 281600, 'step': 7, 'step_time_sec': 4.01, 'avg_step_time_sec': 3.27, 'time_to_completion_sec': 42.46, 'estimated_total_time_sec': 65.32, 'step_peak_memory_allocated_MB': 34548.74, 'step_peak_memory_reserved_MB': 49480.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49480.0, 'step_tokens_per_second': 12518.77, 'avg_tokens_per_second': 12514.95}
{'loss': 1.0363, 'grad_norm': 10.567785263061523, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 323584, 'step': 8, 'step_time_sec': 3.97, 'avg_step_time_sec': 3.37, 'time_to_completion_sec': 40.41, 'estimated_total_time_sec': 67.35, 'step_peak_memory_allocated_MB': 34548.53, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 10562.46, 'avg_tokens_per_second': 12185.7}
{'loss': 0.9466, 'grad_norm': 7.640759468078613, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 359424, 'step': 9, 'step_time_sec': 2.68, 'avg_step_time_sec': 3.28, 'time_to_completion_sec': 36.1, 'estimated_total_time_sec': 65.63, 'step_peak_memory_allocated_MB': 34548.58, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 13368.93, 'avg_tokens_per_second': 12306.53}
{'loss': 0.9952, 'grad_norm': 7.067039489746094, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 403456, 'step': 10, 'step_time_sec': 3.01, 'avg_step_time_sec': 3.25, 'time_to_completion_sec': 32.51, 'estimated_total_time_sec': 65.02, 'step_peak_memory_allocated_MB': 34548.6, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 14647.69, 'avg_tokens_per_second': 12547.07}
{'loss': 0.9377, 'grad_norm': 7.340404033660889, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 444928, 'step': 11, 'step_time_sec': 3.35, 'avg_step_time_sec': 3.26, 'time_to_completion_sec': 29.35, 'estimated_total_time_sec': 65.22, 'step_peak_memory_allocated_MB': 34548.67, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 12375.84, 'avg_tokens_per_second': 12529.47}
{'loss': 0.967, 'grad_norm': 7.326729774475098, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 482304, 'step': 12, 'step_time_sec': 2.93, 'avg_step_time_sec': 3.23, 'time_to_completion_sec': 25.85, 'estimated_total_time_sec': 64.62, 'step_peak_memory_allocated_MB': 34548.6, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 12755.65, 'avg_tokens_per_second': 12548.12}
{'loss': 0.9458, 'grad_norm': 7.230746269226074, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.04, 'num_input_tokens_seen': 523776, 'step': 13, 'step_time_sec': 3.41, 'avg_step_time_sec': 3.25, 'time_to_completion_sec': 22.72, 'estimated_total_time_sec': 64.92, 'step_peak_memory_allocated_MB': 34548.56, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 12161.67, 'avg_tokens_per_second': 12514.29}
{'loss': 0.9437, 'grad_norm': 6.664155006408691, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.04, 'num_input_tokens_seen': 561152, 'step': 14, 'step_time_sec': 3.71, 'avg_step_time_sec': 3.28, 'time_to_completion_sec': 19.69, 'estimated_total_time_sec': 65.63, 'step_peak_memory_allocated_MB': 34548.55, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 10065.81, 'avg_tokens_per_second': 12301.18}
{'loss': 0.9698, 'grad_norm': 6.749946117401123, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.04, 'num_input_tokens_seen': 600576, 'step': 15, 'step_time_sec': 3.58, 'avg_step_time_sec': 3.3, 'time_to_completion_sec': 16.52, 'estimated_total_time_sec': 66.06, 'step_peak_memory_allocated_MB': 34548.69, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 11004.49, 'avg_tokens_per_second': 12200.73}
{'loss': 0.9549, 'grad_norm': 6.560546398162842, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.04, 'num_input_tokens_seen': 645632, 'step': 16, 'step_time_sec': 3.58, 'avg_step_time_sec': 3.32, 'time_to_completion_sec': 13.29, 'estimated_total_time_sec': 66.44, 'step_peak_memory_allocated_MB': 34548.61, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 12580.2, 'avg_tokens_per_second': 12228.01}
{'loss': 0.9403, 'grad_norm': 6.761826038360596, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.05, 'num_input_tokens_seen': 689152, 'step': 17, 'step_time_sec': 3.98, 'avg_step_time_sec': 3.36, 'time_to_completion_sec': 10.09, 'estimated_total_time_sec': 67.26, 'step_peak_memory_allocated_MB': 34548.51, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 10929.49, 'avg_tokens_per_second': 12131.91}
{'loss': 0.9078, 'grad_norm': 6.6628522872924805, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.05, 'num_input_tokens_seen': 724992, 'step': 18, 'step_time_sec': 2.5, 'avg_step_time_sec': 3.31, 'time_to_completion_sec': 6.62, 'estimated_total_time_sec': 66.25, 'step_peak_memory_allocated_MB': 34548.59, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 14326.43, 'avg_tokens_per_second': 12229.41}
{'loss': 0.9458, 'grad_norm': 6.900877475738525, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.05, 'num_input_tokens_seen': 759296, 'step': 19, 'step_time_sec': 2.49, 'avg_step_time_sec': 3.27, 'time_to_completion_sec': 3.27, 'estimated_total_time_sec': 65.33, 'step_peak_memory_allocated_MB': 34548.58, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 13769.42, 'avg_tokens_per_second': 12294.66}
{'loss': 0.9718, 'grad_norm': 6.3139872550964355, 'learning_rate': 0.0, 'epoch': 0.05, 'num_input_tokens_seen': 803328, 'step': 20, 'step_time_sec': 3.67, 'avg_step_time_sec': 3.29, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 65.76, 'step_peak_memory_allocated_MB': 34548.53, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 11987.89, 'avg_tokens_per_second': 12276.62}
{'train_runtime': 68.2817, 'train_samples_per_second': 37.492, 'train_steps_per_second': 0.293, 'train_loss': 1.9547371327877046, 'epoch': 0.05, 'num_input_tokens_seen': 803328, 'step': 20, 'step_time_sec': 3.67, 'avg_step_time_sec': 3.29, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 65.76, 'step_peak_memory_allocated_MB': 34548.53, 'step_peak_memory_reserved_MB': 49984.0, 'total_peak_memory_allocated_MB': 34548.74, 'total_peak_memory_reserved_MB': 49984.0, 'step_tokens_per_second': 11987.89, 'avg_tokens_per_second': 12276.62}
