{'loss': 1.2659, 'grad_norm': 11.513300895690918, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 19712}
{'loss': 1.3634, 'grad_norm': 12.770770072937012, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 36864, 'step': 2, 'step_time_sec': 1.47, 'avg_step_time_sec': 1.47, 'time_to_completion_sec': 26.39, 'estimated_total_time_sec': 29.33, 'step_peak_memory_allocated_MB': 18238.04, 'step_peak_memory_reserved_MB': 23370.0, 'total_peak_memory_allocated_MB': 18238.04, 'total_peak_memory_reserved_MB': 23370.0, 'step_tokens_per_second': 11697.65, 'avg_tokens_per_second': 11697.65}
{'loss': 1.4325, 'grad_norm': 10.957027435302734, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 60160, 'step': 3, 'step_time_sec': 1.52, 'avg_step_time_sec': 1.49, 'time_to_completion_sec': 25.35, 'estimated_total_time_sec': 29.83, 'step_peak_memory_allocated_MB': 18238.08, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 15360.17, 'avg_tokens_per_second': 13559.83}
{'loss': 1.2031, 'grad_norm': 9.665274620056152, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 74496, 'step': 4, 'step_time_sec': 1.01, 'avg_step_time_sec': 1.33, 'time_to_completion_sec': 21.32, 'estimated_total_time_sec': 26.65, 'step_peak_memory_allocated_MB': 18238.03, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 14140.11, 'avg_tokens_per_second': 13707.03}
{'loss': 1.2104, 'grad_norm': 8.20534610748291, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 90368, 'step': 5, 'step_time_sec': 1.02, 'avg_step_time_sec': 1.25, 'time_to_completion_sec': 18.81, 'estimated_total_time_sec': 25.08, 'step_peak_memory_allocated_MB': 18238.05, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 15586.84, 'avg_tokens_per_second': 14088.72}
{'loss': 1.207, 'grad_norm': 4.671774387359619, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 107520, 'step': 6, 'step_time_sec': 1.23, 'avg_step_time_sec': 1.25, 'time_to_completion_sec': 17.5, 'estimated_total_time_sec': 25.0, 'step_peak_memory_allocated_MB': 18238.04, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 13896.61, 'avg_tokens_per_second': 14050.78}
{'loss': 1.2395, 'grad_norm': 4.232384204864502, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.01, 'num_input_tokens_seen': 126208, 'step': 7, 'step_time_sec': 1.84, 'avg_step_time_sec': 1.35, 'time_to_completion_sec': 17.52, 'estimated_total_time_sec': 26.96, 'step_peak_memory_allocated_MB': 18238.06, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 10167.46, 'avg_tokens_per_second': 13168.21}
{'loss': 1.0653, 'grad_norm': 3.0845813751220703, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 147456, 'step': 8, 'step_time_sec': 1.84, 'avg_step_time_sec': 1.42, 'time_to_completion_sec': 17.02, 'estimated_total_time_sec': 28.36, 'step_peak_memory_allocated_MB': 18238.05, 'step_peak_memory_reserved_MB': 25340.0, 'total_peak_memory_allocated_MB': 18238.08, 'total_peak_memory_reserved_MB': 25340.0, 'step_tokens_per_second': 11557.1, 'avg_tokens_per_second': 12869.79}
{'loss': 0.9553, 'grad_norm': 2.8135077953338623, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 166400, 'step': 9, 'step_time_sec': 1.65, 'avg_step_time_sec': 1.45, 'time_to_completion_sec': 15.92, 'estimated_total_time_sec': 28.95, 'step_peak_memory_allocated_MB': 18238.13, 'step_peak_memory_reserved_MB': 28066.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28066.0, 'step_tokens_per_second': 11458.08, 'avg_tokens_per_second': 12668.22}
{'loss': 1.1789, 'grad_norm': 2.331150770187378, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 188672, 'step': 10, 'step_time_sec': 1.84, 'avg_step_time_sec': 1.49, 'time_to_completion_sec': 14.91, 'estimated_total_time_sec': 29.82, 'step_peak_memory_allocated_MB': 18238.07, 'step_peak_memory_reserved_MB': 28066.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28066.0, 'step_tokens_per_second': 12119.59, 'avg_tokens_per_second': 12593.08}
{'loss': 1.1761, 'grad_norm': 2.3909497261047363, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 207360, 'step': 11, 'step_time_sec': 1.47, 'avg_step_time_sec': 1.49, 'time_to_completion_sec': 13.4, 'estimated_total_time_sec': 29.78, 'step_peak_memory_allocated_MB': 18238.02, 'step_peak_memory_reserved_MB': 28068.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28068.0, 'step_tokens_per_second': 12683.13, 'avg_tokens_per_second': 12601.99}
{'loss': 1.0887, 'grad_norm': 2.2243776321411133, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.02, 'num_input_tokens_seen': 223232, 'step': 12, 'step_time_sec': 1.23, 'avg_step_time_sec': 1.47, 'time_to_completion_sec': 11.73, 'estimated_total_time_sec': 29.32, 'step_peak_memory_allocated_MB': 18238.02, 'step_peak_memory_reserved_MB': 28068.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28068.0, 'step_tokens_per_second': 12855.53, 'avg_tokens_per_second': 12621.4}
{'loss': 1.0674, 'grad_norm': 2.369933605194092, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.02, 'num_input_tokens_seen': 241920, 'step': 13, 'step_time_sec': 1.24, 'avg_step_time_sec': 1.45, 'time_to_completion_sec': 10.13, 'estimated_total_time_sec': 28.94, 'step_peak_memory_allocated_MB': 18238.07, 'step_peak_memory_reserved_MB': 28068.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28068.0, 'step_tokens_per_second': 15105.61, 'avg_tokens_per_second': 12798.42}
{'loss': 0.9949, 'grad_norm': 1.7997411489486694, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.02, 'num_input_tokens_seen': 266752, 'step': 14, 'step_time_sec': 1.84, 'avg_step_time_sec': 1.48, 'time_to_completion_sec': 8.86, 'estimated_total_time_sec': 29.54, 'step_peak_memory_allocated_MB': 18238.04, 'step_peak_memory_reserved_MB': 28068.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28068.0, 'step_tokens_per_second': 13482.61, 'avg_tokens_per_second': 12864.04}
{'loss': 1.0509, 'grad_norm': 1.9297363758087158, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.02, 'num_input_tokens_seen': 282624, 'step': 15, 'step_time_sec': 1.23, 'avg_step_time_sec': 1.46, 'time_to_completion_sec': 7.3, 'estimated_total_time_sec': 29.2, 'step_peak_memory_allocated_MB': 18238.04, 'step_peak_memory_reserved_MB': 28068.0, 'total_peak_memory_allocated_MB': 18238.13, 'total_peak_memory_reserved_MB': 28068.0, 'step_tokens_per_second': 12860.97, 'avg_tokens_per_second': 12863.85}
