{'loss': 1.406, 'grad_norm': 12.541770935058594, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 319488}
{'loss': 1.4034, 'grad_norm': 12.227520942687988, 'learning_rate': 6e-06, 'epoch': 0.03, 'num_input_tokens_seen': 657408, 'step': 2, 'step_time_sec': 15.95, 'avg_step_time_sec': 15.95, 'time_to_completion_sec': 287.13, 'estimated_total_time_sec': 319.04, 'step_peak_memory_allocated_MB': 53773.64, 'step_peak_memory_reserved_MB': 72314.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72314.0, 'step_tokens_per_second': 21183.79, 'avg_tokens_per_second': 21183.79}
{'loss': 1.4155, 'grad_norm': 11.601066589355469, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.05, 'num_input_tokens_seen': 983040, 'step': 3, 'step_time_sec': 17.87, 'avg_step_time_sec': 16.91, 'time_to_completion_sec': 287.49, 'estimated_total_time_sec': 338.23, 'step_peak_memory_allocated_MB': 33901.38, 'step_peak_memory_reserved_MB': 72746.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72746.0, 'step_tokens_per_second': 18221.16, 'avg_tokens_per_second': 19618.42}
{'loss': 1.2451, 'grad_norm': 7.2639546394348145, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1345536, 'step': 4, 'step_time_sec': 17.76, 'avg_step_time_sec': 17.19, 'time_to_completion_sec': 275.11, 'estimated_total_time_sec': 343.89, 'step_peak_memory_allocated_MB': 41970.76, 'step_peak_memory_reserved_MB': 72746.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72746.0, 'step_tokens_per_second': 20409.98, 'avg_tokens_per_second': 19890.96}
{'loss': 1.3101, 'grad_norm': 6.570896148681641, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1643520, 'step': 5, 'step_time_sec': 16.49, 'avg_step_time_sec': 17.02, 'time_to_completion_sec': 255.26, 'estimated_total_time_sec': 340.34, 'step_peak_memory_allocated_MB': 35216.13, 'step_peak_memory_reserved_MB': 72746.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72746.0, 'step_tokens_per_second': 18075.91, 'avg_tokens_per_second': 19451.38}
{'loss': 1.1848, 'grad_norm': 3.6237378120422363, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.1, 'num_input_tokens_seen': 1972224, 'step': 6, 'step_time_sec': 17.59, 'avg_step_time_sec': 17.13, 'time_to_completion_sec': 239.85, 'estimated_total_time_sec': 342.64, 'step_peak_memory_allocated_MB': 38457.95, 'step_peak_memory_reserved_MB': 72746.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72746.0, 'step_tokens_per_second': 18686.64, 'avg_tokens_per_second': 19294.34}
{'loss': 1.1677, 'grad_norm': 3.173353910446167, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.11, 'num_input_tokens_seen': 2297856, 'step': 7, 'step_time_sec': 17.27, 'avg_step_time_sec': 17.16, 'time_to_completion_sec': 223.02, 'estimated_total_time_sec': 343.11, 'step_peak_memory_allocated_MB': 35216.13, 'step_peak_memory_reserved_MB': 72746.0, 'total_peak_memory_allocated_MB': 53773.64, 'total_peak_memory_reserved_MB': 72746.0, 'step_tokens_per_second': 18852.45, 'avg_tokens_per_second': 19220.19}
{'loss': 1.0771, 'grad_norm': 1.6625638008117676, 'learning_rate': 4.5e-06, 'epoch': 0.13, 'num_input_tokens_seen': 2663424, 'step': 8, 'step_time_sec': 17.59, 'avg_step_time_sec': 17.22, 'time_to_completion_sec': 206.61, 'estimated_total_time_sec': 344.34, 'step_peak_memory_allocated_MB': 55909.44, 'step_peak_memory_reserved_MB': 78512.0, 'total_peak_memory_allocated_MB': 55909.44, 'total_peak_memory_reserved_MB': 78512.0, 'step_tokens_per_second': 20784.81, 'avg_tokens_per_second': 19448.53}
{'loss': 1.0632, 'grad_norm': 1.4456589221954346, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.15, 'num_input_tokens_seen': 3016704, 'step': 9, 'step_time_sec': 17.97, 'avg_step_time_sec': 17.31, 'time_to_completion_sec': 190.42, 'estimated_total_time_sec': 346.22, 'step_peak_memory_allocated_MB': 58093.44, 'step_peak_memory_reserved_MB': 79446.0, 'total_peak_memory_allocated_MB': 58093.44, 'total_peak_memory_reserved_MB': 79446.0, 'step_tokens_per_second': 19662.17, 'avg_tokens_per_second': 19476.24}
{'loss': 1.0886, 'grad_norm': 1.3515256643295288, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.16, 'num_input_tokens_seen': 3351552, 'step': 10, 'step_time_sec': 16.53, 'avg_step_time_sec': 17.22, 'time_to_completion_sec': 172.24, 'estimated_total_time_sec': 344.48, 'step_peak_memory_allocated_MB': 49646.58, 'step_peak_memory_reserved_MB': 74436.0, 'total_peak_memory_allocated_MB': 58093.44, 'total_peak_memory_reserved_MB': 79446.0, 'step_tokens_per_second': 20256.88, 'avg_tokens_per_second': 19559.49}
{'loss': 1.0527, 'grad_norm': 1.107613205909729, 'learning_rate': 3e-06, 'epoch': 0.18, 'num_input_tokens_seen': 3710976, 'step': 11, 'step_time_sec': 17.33, 'avg_step_time_sec': 17.23, 'time_to_completion_sec': 155.11, 'estimated_total_time_sec': 344.69, 'step_peak_memory_allocated_MB': 58093.44, 'step_peak_memory_reserved_MB': 74436.0, 'total_peak_memory_allocated_MB': 58093.44, 'total_peak_memory_reserved_MB': 79446.0, 'step_tokens_per_second': 20740.72, 'avg_tokens_per_second': 19678.26}
{'loss': 1.0663, 'grad_norm': 0.9438340663909912, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.2, 'num_input_tokens_seen': 4088832, 'step': 12, 'step_time_sec': 17.2, 'avg_step_time_sec': 17.23, 'time_to_completion_sec': 137.85, 'estimated_total_time_sec': 344.62, 'step_peak_memory_allocated_MB': 49646.58, 'step_peak_memory_reserved_MB': 74436.0, 'total_peak_memory_allocated_MB': 58093.44, 'total_peak_memory_reserved_MB': 79446.0, 'step_tokens_per_second': 21972.89, 'avg_tokens_per_second': 19886.44}
