{'loss': 8.1143, 'grad_norm': 581.3981323242188, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 108544}
{'loss': 8.4054, 'grad_norm': 606.9427490234375, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 219136, 'step': 2, 'step_time_sec': 9.13, 'avg_step_time_sec': 9.13, 'time_to_completion_sec': 164.33, 'estimated_total_time_sec': 182.59, 'step_peak_memory_allocated_MB': 42876.5, 'step_peak_memory_reserved_MB': 58088.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58088.0, 'step_tokens_per_second': 12113.93, 'avg_tokens_per_second': 12113.93}
{'loss': 4.0974, 'grad_norm': 203.6127471923828, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 308224, 'step': 3, 'step_time_sec': 8.7, 'avg_step_time_sec': 8.92, 'time_to_completion_sec': 151.58, 'estimated_total_time_sec': 178.33, 'step_peak_memory_allocated_MB': 41546.57, 'step_peak_memory_reserved_MB': 58088.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58088.0, 'step_tokens_per_second': 10236.04, 'avg_tokens_per_second': 11197.41}
{'loss': 1.9653, 'grad_norm': 131.62570190429688, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 399360, 'step': 4, 'step_time_sec': 8.72, 'avg_step_time_sec': 8.85, 'time_to_completion_sec': 141.6, 'estimated_total_time_sec': 177.0, 'step_peak_memory_allocated_MB': 41546.57, 'step_peak_memory_reserved_MB': 58088.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58088.0, 'step_tokens_per_second': 10454.19, 'avg_tokens_per_second': 10953.38}
{'loss': 1.6947, 'grad_norm': 56.4521598815918, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 480256, 'step': 5, 'step_time_sec': 6.57, 'avg_step_time_sec': 8.28, 'time_to_completion_sec': 124.2, 'estimated_total_time_sec': 165.6, 'step_peak_memory_allocated_MB': 34547.94, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 12315.04, 'avg_tokens_per_second': 11223.45}
{'loss': 1.2711, 'grad_norm': 30.094833374023438, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 579584, 'step': 6, 'step_time_sec': 9.08, 'avg_step_time_sec': 8.44, 'time_to_completion_sec': 118.15, 'estimated_total_time_sec': 168.78, 'step_peak_memory_allocated_MB': 37558.28, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 10943.61, 'avg_tokens_per_second': 11163.26}
{'loss': 1.1513, 'grad_norm': 19.749441146850586, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 686080, 'step': 7, 'step_time_sec': 9.39, 'avg_step_time_sec': 8.6, 'time_to_completion_sec': 111.78, 'estimated_total_time_sec': 171.96, 'step_peak_memory_allocated_MB': 36230.18, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 11336.95, 'avg_tokens_per_second': 11194.88}
{'loss': 1.093, 'grad_norm': 13.449737548828125, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 782336, 'step': 8, 'step_time_sec': 7.82, 'avg_step_time_sec': 8.49, 'time_to_completion_sec': 101.84, 'estimated_total_time_sec': 169.74, 'step_peak_memory_allocated_MB': 35070.08, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 12311.57, 'avg_tokens_per_second': 11341.85}
{'loss': 1.0343, 'grad_norm': 7.180865287780762, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 878592, 'step': 9, 'step_time_sec': 8.76, 'avg_step_time_sec': 8.52, 'time_to_completion_sec': 93.73, 'estimated_total_time_sec': 170.41, 'step_peak_memory_allocated_MB': 41546.57, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 10991.84, 'avg_tokens_per_second': 11296.88}
{'loss': 1.0079, 'grad_norm': 7.942495346069336, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 961536, 'step': 10, 'step_time_sec': 7.25, 'avg_step_time_sec': 8.38, 'time_to_completion_sec': 83.8, 'estimated_total_time_sec': 167.6, 'step_peak_memory_allocated_MB': 35070.08, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 11435.24, 'avg_tokens_per_second': 11310.19}
{'loss': 0.9792, 'grad_norm': 6.665884494781494, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1038336, 'step': 11, 'step_time_sec': 6.81, 'avg_step_time_sec': 8.22, 'time_to_completion_sec': 74.01, 'estimated_total_time_sec': 164.46, 'step_peak_memory_allocated_MB': 34547.94, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 11271.52, 'avg_tokens_per_second': 11306.98}
{'loss': 0.9459, 'grad_norm': 6.491130828857422, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1133568, 'step': 12, 'step_time_sec': 9.18, 'avg_step_time_sec': 8.31, 'time_to_completion_sec': 66.48, 'estimated_total_time_sec': 166.21, 'step_peak_memory_allocated_MB': 42876.5, 'step_peak_memory_reserved_MB': 58696.0, 'total_peak_memory_allocated_MB': 42876.5, 'total_peak_memory_reserved_MB': 58696.0, 'step_tokens_per_second': 10370.29, 'avg_tokens_per_second': 11212.89}
