{'loss': 8.4082, 'grad_norm': 589.1575317382812, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 215040}
{'loss': 8.5185, 'grad_norm': 611.914794921875, 'learning_rate': 6e-06, 'epoch': 0.02, 'num_input_tokens_seen': 393216, 'step': 2, 'step_time_sec': 15.14, 'avg_step_time_sec': 15.14, 'time_to_completion_sec': 272.52, 'estimated_total_time_sec': 302.8, 'step_peak_memory_allocated_MB': 40253.5, 'step_peak_memory_reserved_MB': 54220.0, 'total_peak_memory_allocated_MB': 40253.5, 'total_peak_memory_reserved_MB': 54220.0, 'step_tokens_per_second': 11768.47, 'avg_tokens_per_second': 11768.47}
{'loss': 4.0977, 'grad_norm': 197.9078826904297, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.03, 'num_input_tokens_seen': 591872, 'step': 3, 'step_time_sec': 15.21, 'avg_step_time_sec': 15.18, 'time_to_completion_sec': 258.01, 'estimated_total_time_sec': 303.54, 'step_peak_memory_allocated_MB': 42805.79, 'step_peak_memory_reserved_MB': 56796.0, 'total_peak_memory_allocated_MB': 42805.79, 'total_peak_memory_reserved_MB': 56796.0, 'step_tokens_per_second': 13057.71, 'avg_tokens_per_second': 12414.65}
{'loss': 1.9351, 'grad_norm': 111.55445861816406, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.04, 'num_input_tokens_seen': 780288, 'step': 4, 'step_time_sec': 12.23, 'avg_step_time_sec': 14.2, 'time_to_completion_sec': 227.13, 'estimated_total_time_sec': 283.91, 'step_peak_memory_allocated_MB': 41104.14, 'step_peak_memory_reserved_MB': 56796.0, 'total_peak_memory_allocated_MB': 42805.79, 'total_peak_memory_reserved_MB': 56796.0, 'step_tokens_per_second': 15401.89, 'avg_tokens_per_second': 13272.74}
{'loss': 1.7037, 'grad_norm': 47.912315368652344, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.05, 'num_input_tokens_seen': 995328, 'step': 5, 'step_time_sec': 15.18, 'avg_step_time_sec': 14.44, 'time_to_completion_sec': 216.62, 'estimated_total_time_sec': 288.82, 'step_peak_memory_allocated_MB': 44508.43, 'step_peak_memory_reserved_MB': 58196.0, 'total_peak_memory_allocated_MB': 44508.43, 'total_peak_memory_reserved_MB': 58196.0, 'step_tokens_per_second': 14168.75, 'avg_tokens_per_second': 13508.16}
{'loss': 1.2166, 'grad_norm': 20.701627731323242, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1214464, 'step': 6, 'step_time_sec': 15.24, 'avg_step_time_sec': 14.6, 'time_to_completion_sec': 204.42, 'estimated_total_time_sec': 292.03, 'step_peak_memory_allocated_MB': 44508.43, 'step_peak_memory_reserved_MB': 59596.0, 'total_peak_memory_allocated_MB': 44508.43, 'total_peak_memory_reserved_MB': 59596.0, 'step_tokens_per_second': 14376.48, 'avg_tokens_per_second': 13689.45}
{'loss': 1.0932, 'grad_norm': 9.893461227416992, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1427456, 'step': 7, 'step_time_sec': 14.47, 'avg_step_time_sec': 14.58, 'time_to_completion_sec': 189.54, 'estimated_total_time_sec': 291.6, 'step_peak_memory_allocated_MB': 42806.73, 'step_peak_memory_reserved_MB': 59596.0, 'total_peak_memory_allocated_MB': 44508.43, 'total_peak_memory_reserved_MB': 59596.0, 'step_tokens_per_second': 14716.7, 'avg_tokens_per_second': 13859.4}
{'loss': 1.0649, 'grad_norm': 11.794000625610352, 'learning_rate': 4.5e-06, 'epoch': 0.09, 'num_input_tokens_seen': 1630208, 'step': 8, 'step_time_sec': 15.18, 'avg_step_time_sec': 14.67, 'time_to_completion_sec': 175.99, 'estimated_total_time_sec': 293.31, 'step_peak_memory_allocated_MB': 44508.43, 'step_peak_memory_reserved_MB': 59596.0, 'total_peak_memory_allocated_MB': 44508.43, 'total_peak_memory_reserved_MB': 59596.0, 'step_tokens_per_second': 13357.66, 'avg_tokens_per_second': 13785.22}
{'loss': 1.0232, 'grad_norm': 9.271493911743164, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.1, 'num_input_tokens_seen': 1812480, 'step': 9, 'step_time_sec': 12.44, 'avg_step_time_sec': 14.39, 'time_to_completion_sec': 158.27, 'estimated_total_time_sec': 287.76, 'step_peak_memory_allocated_MB': 44508.43, 'step_peak_memory_reserved_MB': 59596.0, 'total_peak_memory_allocated_MB': 44508.43, 'total_peak_memory_reserved_MB': 59596.0, 'step_tokens_per_second': 14647.56, 'avg_tokens_per_second': 13878.45}
{'loss': 0.9931, 'grad_norm': 6.400927543640137, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.11, 'num_input_tokens_seen': 2025472, 'step': 10, 'step_time_sec': 15.43, 'avg_step_time_sec': 14.5, 'time_to_completion_sec': 145.04, 'estimated_total_time_sec': 290.08, 'step_peak_memory_allocated_MB': 50471.36, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13801.31, 'avg_tokens_per_second': 13869.33}
{'loss': 0.9863, 'grad_norm': 7.306629180908203, 'learning_rate': 3e-06, 'epoch': 0.12, 'num_input_tokens_seen': 2193408, 'step': 11, 'step_time_sec': 10.59, 'avg_step_time_sec': 14.11, 'time_to_completion_sec': 127.02, 'estimated_total_time_sec': 282.26, 'step_peak_memory_allocated_MB': 40253.5, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 15852.16, 'avg_tokens_per_second': 14018.17}
{'loss': 0.9317, 'grad_norm': 5.715122222900391, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.13, 'num_input_tokens_seen': 2394112, 'step': 12, 'step_time_sec': 15.24, 'avg_step_time_sec': 14.22, 'time_to_completion_sec': 113.72, 'estimated_total_time_sec': 284.31, 'step_peak_memory_allocated_MB': 41954.89, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13167.96, 'avg_tokens_per_second': 13935.3}
{'loss': 0.9547, 'grad_norm': 5.486171245574951, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.14, 'num_input_tokens_seen': 2584576, 'step': 13, 'step_time_sec': 13.97, 'avg_step_time_sec': 14.2, 'time_to_completion_sec': 99.37, 'estimated_total_time_sec': 283.9, 'step_peak_memory_allocated_MB': 40253.5, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13634.19, 'avg_tokens_per_second': 13910.6}
{'loss': 0.9376, 'grad_norm': 5.383693218231201, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.15, 'num_input_tokens_seen': 2799616, 'step': 14, 'step_time_sec': 14.63, 'avg_step_time_sec': 14.23, 'time_to_completion_sec': 85.37, 'estimated_total_time_sec': 284.57, 'step_peak_memory_allocated_MB': 48766.97, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 14696.14, 'avg_tokens_per_second': 13972.74}
{'loss': 0.9332, 'grad_norm': 5.048199653625488, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.16, 'num_input_tokens_seen': 3043328, 'step': 15, 'step_time_sec': 15.3, 'avg_step_time_sec': 14.31, 'time_to_completion_sec': 71.53, 'estimated_total_time_sec': 286.11, 'step_peak_memory_allocated_MB': 48766.97, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 15926.78, 'avg_tokens_per_second': 14122.04}
{'loss': 0.9189, 'grad_norm': 5.265552520751953, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.17, 'num_input_tokens_seen': 3244032, 'step': 16, 'step_time_sec': 15.22, 'avg_step_time_sec': 14.37, 'time_to_completion_sec': 57.46, 'estimated_total_time_sec': 287.32, 'step_peak_memory_allocated_MB': 43656.8, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13189.18, 'avg_tokens_per_second': 14056.17}
{'loss': 0.9201, 'grad_norm': 5.1331658363342285, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.18, 'num_input_tokens_seen': 3430400, 'step': 17, 'step_time_sec': 14.22, 'avg_step_time_sec': 14.36, 'time_to_completion_sec': 43.07, 'estimated_total_time_sec': 287.14, 'step_peak_memory_allocated_MB': 47915.21, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13109.42, 'avg_tokens_per_second': 13997.57}
{'loss': 0.9226, 'grad_norm': 5.1996989250183105, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.2, 'num_input_tokens_seen': 3653632, 'step': 18, 'step_time_sec': 15.31, 'avg_step_time_sec': 14.41, 'time_to_completion_sec': 28.83, 'estimated_total_time_sec': 288.25, 'step_peak_memory_allocated_MB': 47915.21, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 14585.38, 'avg_tokens_per_second': 14034.29}
{'loss': 0.9499, 'grad_norm': 4.998756408691406, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.21, 'num_input_tokens_seen': 3840000, 'step': 19, 'step_time_sec': 12.69, 'avg_step_time_sec': 14.32, 'time_to_completion_sec': 14.32, 'estimated_total_time_sec': 286.34, 'step_peak_memory_allocated_MB': 41954.89, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 14686.25, 'avg_tokens_per_second': 14066.4}
{'loss': 0.9447, 'grad_norm': 5.147517681121826, 'learning_rate': 0.0, 'epoch': 0.22, 'num_input_tokens_seen': 4042752, 'step': 20, 'step_time_sec': 14.89, 'avg_step_time_sec': 14.35, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 286.94, 'step_peak_memory_allocated_MB': 47063.08, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13619.23, 'avg_tokens_per_second': 14041.98}
{'train_runtime': 292.0543, 'train_samples_per_second': 35.062, 'train_steps_per_second': 0.068, 'train_loss': 1.9726994693279267, 'epoch': 0.22, 'num_input_tokens_seen': 4042752, 'step': 20, 'step_time_sec': 14.89, 'avg_step_time_sec': 14.35, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 286.94, 'step_peak_memory_allocated_MB': 47063.08, 'step_peak_memory_reserved_MB': 64972.0, 'total_peak_memory_allocated_MB': 50471.36, 'total_peak_memory_reserved_MB': 64972.0, 'step_tokens_per_second': 13619.23, 'avg_tokens_per_second': 14041.98}
