{'loss': 1.3928, 'grad_norm': 11.700151443481445, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 99328}
{'loss': 1.4155, 'grad_norm': 11.976252555847168, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 195584, 'step': 2, 'step_time_sec': 4.17, 'avg_step_time_sec': 4.17, 'time_to_completion_sec': 75.02, 'estimated_total_time_sec': 83.35, 'step_peak_memory_allocated_MB': 22349.2, 'step_peak_memory_reserved_MB': 31728.0, 'total_peak_memory_allocated_MB': 22349.2, 'total_peak_memory_reserved_MB': 31728.0, 'step_tokens_per_second': 23096.2, 'avg_tokens_per_second': 23096.2}
{'loss': 1.4365, 'grad_norm': 12.002172470092773, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 299008, 'step': 3, 'step_time_sec': 4.92, 'avg_step_time_sec': 4.54, 'time_to_completion_sec': 77.25, 'estimated_total_time_sec': 90.88, 'step_peak_memory_allocated_MB': 20617.38, 'step_peak_memory_reserved_MB': 32002.0, 'total_peak_memory_allocated_MB': 22349.2, 'total_peak_memory_reserved_MB': 32002.0, 'step_tokens_per_second': 21019.13, 'avg_tokens_per_second': 21971.63}
{'loss': 1.2967, 'grad_norm': 7.868441104888916, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 386048, 'step': 4, 'step_time_sec': 4.56, 'avg_step_time_sec': 4.55, 'time_to_completion_sec': 72.77, 'estimated_total_time_sec': 90.97, 'step_peak_memory_allocated_MB': 21179.06, 'step_peak_memory_reserved_MB': 32002.0, 'total_peak_memory_allocated_MB': 22349.2, 'total_peak_memory_reserved_MB': 32002.0, 'step_tokens_per_second': 19100.34, 'avg_tokens_per_second': 21012.72}
{'loss': 1.282, 'grad_norm': 6.877361297607422, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 481280, 'step': 5, 'step_time_sec': 4.72, 'avg_step_time_sec': 4.59, 'time_to_completion_sec': 68.88, 'estimated_total_time_sec': 91.85, 'step_peak_memory_allocated_MB': 23584.39, 'step_peak_memory_reserved_MB': 33354.0, 'total_peak_memory_allocated_MB': 23584.39, 'total_peak_memory_reserved_MB': 33354.0, 'step_tokens_per_second': 20158.28, 'avg_tokens_per_second': 20792.97}
{'loss': 1.211, 'grad_norm': 3.868703842163086, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 570368, 'step': 6, 'step_time_sec': 4.73, 'avg_step_time_sec': 4.62, 'time_to_completion_sec': 64.67, 'estimated_total_time_sec': 92.38, 'step_peak_memory_allocated_MB': 22349.2, 'step_peak_memory_reserved_MB': 33354.0, 'total_peak_memory_allocated_MB': 23584.39, 'total_peak_memory_reserved_MB': 33354.0, 'step_tokens_per_second': 18852.58, 'avg_tokens_per_second': 20395.94}
{'loss': 1.1461, 'grad_norm': 3.345724582672119, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 648192, 'step': 7, 'step_time_sec': 3.59, 'avg_step_time_sec': 4.45, 'time_to_completion_sec': 57.81, 'estimated_total_time_sec': 88.94, 'step_peak_memory_allocated_MB': 19119.36, 'step_peak_memory_reserved_MB': 33354.0, 'total_peak_memory_allocated_MB': 23584.39, 'total_peak_memory_reserved_MB': 33354.0, 'step_tokens_per_second': 21693.56, 'avg_tokens_per_second': 20570.41}
{'loss': 1.1315, 'grad_norm': 1.9189069271087646, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 743424, 'step': 8, 'step_time_sec': 5.79, 'avg_step_time_sec': 4.64, 'time_to_completion_sec': 55.67, 'estimated_total_time_sec': 92.79, 'step_peak_memory_allocated_MB': 19119.36, 'step_peak_memory_reserved_MB': 33730.0, 'total_peak_memory_allocated_MB': 23584.39, 'total_peak_memory_reserved_MB': 33730.0, 'step_tokens_per_second': 16434.25, 'avg_tokens_per_second': 19832.41}
{'loss': 1.0448, 'grad_norm': 1.6059447526931763, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 850944, 'step': 9, 'step_time_sec': 5.37, 'avg_step_time_sec': 4.73, 'time_to_completion_sec': 52.04, 'estimated_total_time_sec': 94.62, 'step_peak_memory_allocated_MB': 22349.2, 'step_peak_memory_reserved_MB': 33730.0, 'total_peak_memory_allocated_MB': 23584.39, 'total_peak_memory_reserved_MB': 33730.0, 'step_tokens_per_second': 20024.64, 'avg_tokens_per_second': 19859.68}
{'loss': 1.0653, 'grad_norm': 1.450292944908142, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 964608, 'step': 10, 'step_time_sec': 5.83, 'avg_step_time_sec': 4.85, 'time_to_completion_sec': 48.53, 'estimated_total_time_sec': 97.06, 'step_peak_memory_allocated_MB': 27675.47, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 19491.92, 'avg_tokens_per_second': 19810.58}
{'loss': 1.0543, 'grad_norm': 1.3393090963363647, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1050624, 'step': 11, 'step_time_sec': 4.36, 'avg_step_time_sec': 4.8, 'time_to_completion_sec': 43.23, 'estimated_total_time_sec': 96.07, 'step_peak_memory_allocated_MB': 18621.16, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 19748.55, 'avg_tokens_per_second': 19804.96}
{'loss': 1.0861, 'grad_norm': 1.2891929149627686, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1155072, 'step': 12, 'step_time_sec': 5.17, 'avg_step_time_sec': 4.84, 'time_to_completion_sec': 38.69, 'estimated_total_time_sec': 96.73, 'step_peak_memory_allocated_MB': 19551.38, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 20202.9, 'avg_tokens_per_second': 19843.63}
{'loss': 1.0148, 'grad_norm': 1.108642578125, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1261568, 'step': 13, 'step_time_sec': 5.79, 'avg_step_time_sec': 4.92, 'time_to_completion_sec': 34.41, 'estimated_total_time_sec': 98.32, 'step_peak_memory_allocated_MB': 23584.39, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 18398.88, 'avg_tokens_per_second': 19701.87}
{'loss': 1.0595, 'grad_norm': 1.067306637763977, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1374208, 'step': 14, 'step_time_sec': 5.81, 'avg_step_time_sec': 4.98, 'time_to_completion_sec': 29.91, 'estimated_total_time_sec': 99.69, 'step_peak_memory_allocated_MB': 23584.39, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 19386.5, 'avg_tokens_per_second': 19673.59}
{'loss': 1.0361, 'grad_norm': 1.12859046459198, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1466368, 'step': 15, 'step_time_sec': 4.93, 'avg_step_time_sec': 4.98, 'time_to_completion_sec': 24.91, 'estimated_total_time_sec': 99.62, 'step_peak_memory_allocated_MB': 18621.16, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 18676.63, 'avg_tokens_per_second': 19603.05}
{'loss': 1.0722, 'grad_norm': 1.127496600151062, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1557504, 'step': 16, 'step_time_sec': 4.39, 'avg_step_time_sec': 4.94, 'time_to_completion_sec': 19.77, 'estimated_total_time_sec': 98.84, 'step_peak_memory_allocated_MB': 22959.23, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 20738.75, 'avg_tokens_per_second': 19670.37}
{'loss': 1.0408, 'grad_norm': 1.0741822719573975, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1639424, 'step': 17, 'step_time_sec': 4.55, 'avg_step_time_sec': 4.92, 'time_to_completion_sec': 14.75, 'estimated_total_time_sec': 98.34, 'step_peak_memory_allocated_MB': 21179.06, 'step_peak_memory_reserved_MB': 37826.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 37826.0, 'step_tokens_per_second': 18022.8, 'avg_tokens_per_second': 19575.19}
