{'loss': 2.5997, 'grad_norm': 77.00181579589844, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 31744}
{'loss': 2.4955, 'grad_norm': 75.55192565917969, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 68096, 'step': 2, 'step_time_sec': 5.02, 'avg_step_time_sec': 5.02, 'time_to_completion_sec': 90.29, 'estimated_total_time_sec': 100.32, 'step_peak_memory_allocated_MB': 56763.95, 'step_peak_memory_reserved_MB': 75682.0, 'total_peak_memory_allocated_MB': 56763.95, 'total_peak_memory_reserved_MB': 75682.0, 'step_tokens_per_second': 7247.25, 'avg_tokens_per_second': 7247.25}
{'loss': 2.0818, 'grad_norm': 42.58488464355469, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 102912, 'step': 3, 'step_time_sec': 5.15, 'avg_step_time_sec': 5.08, 'time_to_completion_sec': 86.38, 'estimated_total_time_sec': 101.63, 'step_peak_memory_allocated_MB': 61562.91, 'step_peak_memory_reserved_MB': 79536.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 6764.7, 'avg_tokens_per_second': 7002.87}
{'loss': 1.726, 'grad_norm': 16.04952049255371, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 145408, 'step': 4, 'step_time_sec': 7.2, 'avg_step_time_sec': 5.79, 'time_to_completion_sec': 92.61, 'estimated_total_time_sec': 115.76, 'step_peak_memory_allocated_MB': 61562.91, 'step_peak_memory_reserved_MB': 79430.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 5900.76, 'avg_tokens_per_second': 6545.78}
{'loss': 1.6982, 'grad_norm': 13.589398384094238, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 181760, 'step': 5, 'step_time_sec': 4.2, 'avg_step_time_sec': 5.39, 'time_to_completion_sec': 80.86, 'estimated_total_time_sec': 107.81, 'step_peak_memory_allocated_MB': 50365.77, 'step_peak_memory_reserved_MB': 73890.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 8658.68, 'avg_tokens_per_second': 6957.17}
{'loss': 1.6526, 'grad_norm': 9.947761535644531, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 214016, 'step': 6, 'step_time_sec': 3.94, 'avg_step_time_sec': 5.1, 'time_to_completion_sec': 71.41, 'estimated_total_time_sec': 102.02, 'step_peak_memory_allocated_MB': 47167.57, 'step_peak_memory_reserved_MB': 73890.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 8184.56, 'avg_tokens_per_second': 7146.83}
{'loss': 1.5092, 'grad_norm': 12.334802627563477, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 250368, 'step': 7, 'step_time_sec': 7.53, 'avg_step_time_sec': 5.5, 'time_to_completion_sec': 71.56, 'estimated_total_time_sec': 110.1, 'step_peak_memory_allocated_MB': 55164.36, 'step_peak_memory_reserved_MB': 78218.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 4830.45, 'avg_tokens_per_second': 6619.06}
{'loss': 1.6104, 'grad_norm': 9.418444633483887, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 279040, 'step': 8, 'step_time_sec': 3.69, 'avg_step_time_sec': 5.25, 'time_to_completion_sec': 62.95, 'estimated_total_time_sec': 104.92, 'step_peak_memory_allocated_MB': 55164.36, 'step_peak_memory_reserved_MB': 79506.0, 'total_peak_memory_allocated_MB': 61562.91, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 7762.78, 'avg_tokens_per_second': 6734.09}
{'loss': 1.5846, 'grad_norm': 10.150763511657715, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 321536, 'step': 9, 'step_time_sec': 6.71, 'avg_step_time_sec': 5.43, 'time_to_completion_sec': 59.73, 'estimated_total_time_sec': 108.59, 'step_peak_memory_allocated_MB': 67961.97, 'step_peak_memory_reserved_MB': 79392.0, 'total_peak_memory_allocated_MB': 67961.97, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 6328.86, 'avg_tokens_per_second': 6671.45}
{'loss': 1.4476, 'grad_norm': 9.150166511535645, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 358912, 'step': 10, 'step_time_sec': 5.37, 'avg_step_time_sec': 5.42, 'time_to_completion_sec': 54.23, 'estimated_total_time_sec': 108.47, 'step_peak_memory_allocated_MB': 61562.91, 'step_peak_memory_reserved_MB': 79530.0, 'total_peak_memory_allocated_MB': 67961.97, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 6956.49, 'avg_tokens_per_second': 6702.83}
{'loss': 1.5339, 'grad_norm': 9.400949478149414, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 395264, 'step': 11, 'step_time_sec': 6.51, 'avg_step_time_sec': 5.53, 'time_to_completion_sec': 49.79, 'estimated_total_time_sec': 110.64, 'step_peak_memory_allocated_MB': 43968.19, 'step_peak_memory_reserved_MB': 66722.0, 'total_peak_memory_allocated_MB': 67961.97, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 5585.49, 'avg_tokens_per_second': 6571.37}
{'loss': 1.5057, 'grad_norm': 8.58180046081543, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 432640, 'step': 12, 'step_time_sec': 5.87, 'avg_step_time_sec': 5.56, 'time_to_completion_sec': 44.5, 'estimated_total_time_sec': 111.26, 'step_peak_memory_allocated_MB': 47167.57, 'step_peak_memory_reserved_MB': 73222.0, 'total_peak_memory_allocated_MB': 67961.97, 'total_peak_memory_reserved_MB': 79536.0, 'step_tokens_per_second': 6362.97, 'avg_tokens_per_second': 6551.37}
