{'loss': 2.3965, 'grad_norm': 68.83353424072266, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 44032}
{'loss': 2.5414, 'grad_norm': 72.84761047363281, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 86528, 'step': 2, 'step_time_sec': 4.87, 'avg_step_time_sec': 4.87, 'time_to_completion_sec': 87.74, 'estimated_total_time_sec': 97.49, 'step_peak_memory_allocated_MB': 40728.14, 'step_peak_memory_reserved_MB': 54374.0, 'total_peak_memory_allocated_MB': 40728.14, 'total_peak_memory_reserved_MB': 54374.0, 'step_tokens_per_second': 8718.46, 'avg_tokens_per_second': 8718.46}
{'loss': 2.0775, 'grad_norm': 40.702152252197266, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 130560, 'step': 3, 'step_time_sec': 4.47, 'avg_step_time_sec': 4.67, 'time_to_completion_sec': 79.4, 'estimated_total_time_sec': 93.41, 'step_peak_memory_allocated_MB': 40728.17, 'step_peak_memory_reserved_MB': 54374.0, 'total_peak_memory_allocated_MB': 40728.17, 'total_peak_memory_reserved_MB': 54374.0, 'step_tokens_per_second': 9857.19, 'avg_tokens_per_second': 9263.0}
{'loss': 1.7578, 'grad_norm': 17.231082916259766, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 164352, 'step': 4, 'step_time_sec': 3.38, 'avg_step_time_sec': 4.24, 'time_to_completion_sec': 67.85, 'estimated_total_time_sec': 84.81, 'step_peak_memory_allocated_MB': 40728.22, 'step_peak_memory_reserved_MB': 54878.0, 'total_peak_memory_allocated_MB': 40728.22, 'total_peak_memory_reserved_MB': 54878.0, 'step_tokens_per_second': 9998.38, 'avg_tokens_per_second': 9458.38}
{'loss': 1.716, 'grad_norm': 16.40226173400879, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 206848, 'step': 5, 'step_time_sec': 4.18, 'avg_step_time_sec': 4.22, 'time_to_completion_sec': 63.37, 'estimated_total_time_sec': 84.5, 'step_peak_memory_allocated_MB': 40728.22, 'step_peak_memory_reserved_MB': 54878.0, 'total_peak_memory_allocated_MB': 40728.22, 'total_peak_memory_reserved_MB': 54878.0, 'step_tokens_per_second': 10170.43, 'avg_tokens_per_second': 9634.43}
{'loss': 1.5434, 'grad_norm': 10.836658477783203, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 238592, 'step': 6, 'step_time_sec': 3.1, 'avg_step_time_sec': 4.0, 'time_to_completion_sec': 56.0, 'estimated_total_time_sec': 80.0, 'step_peak_memory_allocated_MB': 40728.2, 'step_peak_memory_reserved_MB': 54878.0, 'total_peak_memory_allocated_MB': 40728.22, 'total_peak_memory_reserved_MB': 54878.0, 'step_tokens_per_second': 10239.2, 'avg_tokens_per_second': 9728.18}
{'loss': 1.6901, 'grad_norm': 16.858854293823242, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 265216, 'step': 7, 'step_time_sec': 2.45, 'avg_step_time_sec': 3.74, 'time_to_completion_sec': 48.63, 'estimated_total_time_sec': 74.82, 'step_peak_memory_allocated_MB': 40728.13, 'step_peak_memory_reserved_MB': 54878.0, 'total_peak_memory_allocated_MB': 40728.22, 'total_peak_memory_reserved_MB': 54878.0, 'step_tokens_per_second': 10882.46, 'avg_tokens_per_second': 9853.99}
{'loss': 1.6508, 'grad_norm': 13.08994197845459, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 312320, 'step': 8, 'step_time_sec': 4.89, 'avg_step_time_sec': 3.91, 'time_to_completion_sec': 46.87, 'estimated_total_time_sec': 78.11, 'step_peak_memory_allocated_MB': 40728.29, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 9627.24, 'avg_tokens_per_second': 9813.41}
{'loss': 1.5879, 'grad_norm': 9.897309303283691, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 347648, 'step': 9, 'step_time_sec': 3.1, 'avg_step_time_sec': 3.8, 'time_to_completion_sec': 41.85, 'estimated_total_time_sec': 76.09, 'step_peak_memory_allocated_MB': 40728.16, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 11407.62, 'avg_tokens_per_second': 9975.62}
{'loss': 1.609, 'grad_norm': 9.604662895202637, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 381440, 'step': 10, 'step_time_sec': 3.09, 'avg_step_time_sec': 3.72, 'time_to_completion_sec': 37.25, 'estimated_total_time_sec': 74.49, 'step_peak_memory_allocated_MB': 40728.13, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10947.95, 'avg_tokens_per_second': 10065.15}
{'loss': 1.4838, 'grad_norm': 10.665772438049316, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 405504, 'step': 11, 'step_time_sec': 2.19, 'avg_step_time_sec': 3.57, 'time_to_completion_sec': 32.14, 'estimated_total_time_sec': 71.43, 'step_peak_memory_allocated_MB': 40728.11, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10987.29, 'avg_tokens_per_second': 10121.7}
{'loss': 1.4109, 'grad_norm': 7.661112308502197, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 437248, 'step': 12, 'step_time_sec': 3.05, 'avg_step_time_sec': 3.52, 'time_to_completion_sec': 28.19, 'estimated_total_time_sec': 70.48, 'step_peak_memory_allocated_MB': 40728.13, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10402.27, 'avg_tokens_per_second': 10143.79}
{'loss': 1.4194, 'grad_norm': 7.691436290740967, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.04, 'num_input_tokens_seen': 480768, 'step': 13, 'step_time_sec': 4.95, 'avg_step_time_sec': 3.64, 'time_to_completion_sec': 25.5, 'estimated_total_time_sec': 72.86, 'step_peak_memory_allocated_MB': 40728.2, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 8788.21, 'avg_tokens_per_second': 9990.23}
{'loss': 1.4582, 'grad_norm': 8.269135475158691, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.04, 'num_input_tokens_seen': 523264, 'step': 14, 'step_time_sec': 4.21, 'avg_step_time_sec': 3.69, 'time_to_completion_sec': 22.12, 'estimated_total_time_sec': 73.73, 'step_peak_memory_allocated_MB': 40728.15, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10098.26, 'avg_tokens_per_second': 9999.72}
{'loss': 1.484, 'grad_norm': 8.330389976501465, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.04, 'num_input_tokens_seen': 560640, 'step': 15, 'step_time_sec': 3.63, 'avg_step_time_sec': 3.68, 'time_to_completion_sec': 18.41, 'estimated_total_time_sec': 73.65, 'step_peak_memory_allocated_MB': 40728.24, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10302.75, 'avg_tokens_per_second': 10021.04}
{'loss': 1.4484, 'grad_norm': 8.329544067382812, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.04, 'num_input_tokens_seen': 600576, 'step': 16, 'step_time_sec': 4.5, 'avg_step_time_sec': 3.74, 'time_to_completion_sec': 14.95, 'estimated_total_time_sec': 74.74, 'step_peak_memory_allocated_MB': 40728.17, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 8869.89, 'avg_tokens_per_second': 9928.58}
{'loss': 1.5314, 'grad_norm': 7.789947509765625, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.05, 'num_input_tokens_seen': 635392, 'step': 17, 'step_time_sec': 3.36, 'avg_step_time_sec': 3.71, 'time_to_completion_sec': 11.14, 'estimated_total_time_sec': 74.27, 'step_peak_memory_allocated_MB': 40728.19, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10362.32, 'avg_tokens_per_second': 9953.11}
{'loss': 1.5434, 'grad_norm': 7.42924165725708, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.05, 'num_input_tokens_seen': 674304, 'step': 18, 'step_time_sec': 3.72, 'avg_step_time_sec': 3.71, 'time_to_completion_sec': 7.43, 'estimated_total_time_sec': 74.28, 'step_peak_memory_allocated_MB': 40728.14, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 10450.56, 'avg_tokens_per_second': 9982.44}
{'loss': 1.4372, 'grad_norm': 7.715968132019043, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.05, 'num_input_tokens_seen': 707072, 'step': 19, 'step_time_sec': 3.37, 'avg_step_time_sec': 3.7, 'time_to_completion_sec': 3.7, 'estimated_total_time_sec': 73.9, 'step_peak_memory_allocated_MB': 40728.16, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 9717.07, 'avg_tokens_per_second': 9968.99}
{'loss': 1.4395, 'grad_norm': 7.87191915512085, 'learning_rate': 0.0, 'epoch': 0.05, 'num_input_tokens_seen': 738816, 'step': 20, 'step_time_sec': 3.34, 'avg_step_time_sec': 3.68, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 73.53, 'step_peak_memory_allocated_MB': 40728.14, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 9499.98, 'avg_tokens_per_second': 9946.55}
{'train_runtime': 77.7398, 'train_samples_per_second': 32.93, 'train_steps_per_second': 0.257, 'train_loss': 1.6613353729248046, 'epoch': 0.05, 'num_input_tokens_seen': 738816, 'step': 20, 'step_time_sec': 3.34, 'avg_step_time_sec': 3.68, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 73.53, 'step_peak_memory_allocated_MB': 40728.14, 'step_peak_memory_reserved_MB': 57470.0, 'total_peak_memory_allocated_MB': 40728.29, 'total_peak_memory_reserved_MB': 57470.0, 'step_tokens_per_second': 9499.98, 'avg_tokens_per_second': 9946.55}
