{'loss': 2.7148, 'grad_norm': 76.1616439819336, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 10112}
{'loss': 2.5268, 'grad_norm': 84.2802734375, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 16512, 'step': 2, 'step_time_sec': 1.02, 'avg_step_time_sec': 1.02, 'time_to_completion_sec': 18.3, 'estimated_total_time_sec': 20.33, 'step_peak_memory_allocated_MB': 40727.4, 'step_peak_memory_reserved_MB': 53132.0, 'total_peak_memory_allocated_MB': 40727.4, 'total_peak_memory_reserved_MB': 53132.0, 'step_tokens_per_second': 6295.2, 'avg_tokens_per_second': 6295.2}
{'loss': 1.9865, 'grad_norm': 42.97339630126953, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 23040, 'step': 3, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.93, 'time_to_completion_sec': 15.85, 'estimated_total_time_sec': 18.64, 'step_peak_memory_allocated_MB': 40727.39, 'step_peak_memory_reserved_MB': 54902.0, 'total_peak_memory_allocated_MB': 40727.4, 'total_peak_memory_reserved_MB': 54902.0, 'step_tokens_per_second': 7700.84, 'avg_tokens_per_second': 6934.33}
{'loss': 1.9903, 'grad_norm': 24.944311141967773, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 29312, 'step': 4, 'step_time_sec': 1.01, 'avg_step_time_sec': 0.96, 'time_to_completion_sec': 15.32, 'estimated_total_time_sec': 19.15, 'step_peak_memory_allocated_MB': 40727.39, 'step_peak_memory_reserved_MB': 54904.0, 'total_peak_memory_allocated_MB': 40727.4, 'total_peak_memory_reserved_MB': 54904.0, 'step_tokens_per_second': 6224.43, 'avg_tokens_per_second': 6685.26}
{'loss': 1.6895, 'grad_norm': 16.784320831298828, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.0, 'num_input_tokens_seen': 37632, 'step': 5, 'step_time_sec': 1.22, 'avg_step_time_sec': 1.02, 'time_to_completion_sec': 15.35, 'estimated_total_time_sec': 20.46, 'step_peak_memory_allocated_MB': 40727.42, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6817.34, 'avg_tokens_per_second': 6724.65}
{'loss': 1.5155, 'grad_norm': 17.912853240966797, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.0, 'num_input_tokens_seen': 44032, 'step': 6, 'step_time_sec': 1.01, 'avg_step_time_sec': 1.02, 'time_to_completion_sec': 14.29, 'estimated_total_time_sec': 20.42, 'step_peak_memory_allocated_MB': 40727.4, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6319.94, 'avg_tokens_per_second': 6644.37}
{'loss': 1.5345, 'grad_norm': 19.161209106445312, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.0, 'num_input_tokens_seen': 49664, 'step': 7, 'step_time_sec': 0.84, 'avg_step_time_sec': 0.99, 'time_to_completion_sec': 12.89, 'estimated_total_time_sec': 19.83, 'step_peak_memory_allocated_MB': 40727.39, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6679.52, 'avg_tokens_per_second': 6649.35}
{'loss': 1.585, 'grad_norm': 17.862855911254883, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 55040, 'step': 8, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.97, 'time_to_completion_sec': 11.65, 'estimated_total_time_sec': 19.42, 'step_peak_memory_allocated_MB': 40727.38, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6345.02, 'avg_tokens_per_second': 6611.41}
{'loss': 1.5812, 'grad_norm': 17.56027603149414, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 60928, 'step': 9, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.96, 'time_to_completion_sec': 10.52, 'estimated_total_time_sec': 19.13, 'step_peak_memory_allocated_MB': 40727.39, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6887.31, 'avg_tokens_per_second': 6642.24}
{'loss': 1.6805, 'grad_norm': 20.373640060424805, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 66944, 'step': 10, 'step_time_sec': 0.89, 'avg_step_time_sec': 0.95, 'time_to_completion_sec': 9.49, 'estimated_total_time_sec': 18.98, 'step_peak_memory_allocated_MB': 40727.38, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6750.77, 'avg_tokens_per_second': 6653.56}
{'loss': 1.3434, 'grad_norm': 15.306873321533203, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 72320, 'step': 11, 'step_time_sec': 0.79, 'avg_step_time_sec': 0.93, 'time_to_completion_sec': 8.4, 'estimated_total_time_sec': 18.66, 'step_peak_memory_allocated_MB': 40727.38, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 6804.68, 'avg_tokens_per_second': 6666.36}
{'loss': 1.6341, 'grad_norm': 15.514996528625488, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 81152, 'step': 12, 'step_time_sec': 1.16, 'avg_step_time_sec': 0.95, 'time_to_completion_sec': 7.63, 'estimated_total_time_sec': 19.08, 'step_peak_memory_allocated_MB': 40727.41, 'step_peak_memory_reserved_MB': 56404.0, 'total_peak_memory_allocated_MB': 40727.42, 'total_peak_memory_reserved_MB': 56404.0, 'step_tokens_per_second': 7610.03, 'avg_tokens_per_second': 6770.74}
