{'loss': 1.8829, 'grad_norm': 22.682004928588867, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 51456}
{'loss': 1.7717, 'grad_norm': 22.1143856048584, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 112128, 'step': 2, 'step_time_sec': 7.89, 'avg_step_time_sec': 7.89, 'time_to_completion_sec': 142.01, 'estimated_total_time_sec': 157.79, 'step_peak_memory_allocated_MB': 42807.18, 'step_peak_memory_reserved_MB': 66668.0, 'total_peak_memory_allocated_MB': 42807.18, 'total_peak_memory_reserved_MB': 66668.0, 'step_tokens_per_second': 7690.42, 'avg_tokens_per_second': 7690.42}
{'loss': 1.728, 'grad_norm': 21.630048751831055, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 158976, 'step': 3, 'step_time_sec': 5.04, 'avg_step_time_sec': 6.47, 'time_to_completion_sec': 109.92, 'estimated_total_time_sec': 129.32, 'step_peak_memory_allocated_MB': 54905.68, 'step_peak_memory_reserved_MB': 74912.0, 'total_peak_memory_allocated_MB': 54905.68, 'total_peak_memory_reserved_MB': 74912.0, 'step_tokens_per_second': 9290.59, 'avg_tokens_per_second': 8314.38}
{'loss': 1.6219, 'grad_norm': 19.700361251831055, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 215040, 'step': 4, 'step_time_sec': 5.54, 'avg_step_time_sec': 6.16, 'time_to_completion_sec': 98.52, 'estimated_total_time_sec': 123.15, 'step_peak_memory_allocated_MB': 54904.69, 'step_peak_memory_reserved_MB': 74912.0, 'total_peak_memory_allocated_MB': 54905.68, 'total_peak_memory_reserved_MB': 74912.0, 'step_tokens_per_second': 10117.29, 'avg_tokens_per_second': 8855.2}
{'loss': 1.4475, 'grad_norm': 12.188225746154785, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 278784, 'step': 5, 'step_time_sec': 9.89, 'avg_step_time_sec': 7.09, 'time_to_completion_sec': 106.35, 'estimated_total_time_sec': 141.81, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 74912.0, 'total_peak_memory_allocated_MB': 54905.68, 'total_peak_memory_reserved_MB': 74912.0, 'step_tokens_per_second': 6446.61, 'avg_tokens_per_second': 8015.46}
{'loss': 1.4268, 'grad_norm': 6.348898410797119, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 323328, 'step': 6, 'step_time_sec': 3.97, 'avg_step_time_sec': 6.47, 'time_to_completion_sec': 90.53, 'estimated_total_time_sec': 129.33, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 74912.0, 'total_peak_memory_allocated_MB': 54905.68, 'total_peak_memory_reserved_MB': 74912.0, 'step_tokens_per_second': 11217.9, 'avg_tokens_per_second': 8408.76}
{'loss': 1.4292, 'grad_norm': 5.725561618804932, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 374016, 'step': 7, 'step_time_sec': 6.64, 'avg_step_time_sec': 6.5, 'time_to_completion_sec': 84.44, 'estimated_total_time_sec': 129.91, 'step_peak_memory_allocated_MB': 57592.78, 'step_peak_memory_reserved_MB': 79374.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 7634.19, 'avg_tokens_per_second': 8276.79}
{'loss': 1.3175, 'grad_norm': 5.715875625610352, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 439296, 'step': 8, 'step_time_sec': 8.32, 'avg_step_time_sec': 6.76, 'time_to_completion_sec': 81.07, 'estimated_total_time_sec': 135.11, 'step_peak_memory_allocated_MB': 50871.82, 'step_peak_memory_reserved_MB': 70044.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 7848.47, 'avg_tokens_per_second': 8201.46}
{'loss': 1.4163, 'grad_norm': 6.891245365142822, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 487680, 'step': 9, 'step_time_sec': 5.26, 'avg_step_time_sec': 6.57, 'time_to_completion_sec': 72.26, 'estimated_total_time_sec': 131.38, 'step_peak_memory_allocated_MB': 53561.25, 'step_peak_memory_reserved_MB': 77912.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 9191.38, 'avg_tokens_per_second': 8300.61}
{'loss': 1.3215, 'grad_norm': 7.444582939147949, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 549120, 'step': 10, 'step_time_sec': 6.21, 'avg_step_time_sec': 6.53, 'time_to_completion_sec': 65.3, 'estimated_total_time_sec': 130.59, 'step_peak_memory_allocated_MB': 45495.77, 'step_peak_memory_reserved_MB': 72198.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 9889.44, 'avg_tokens_per_second': 8468.58}
{'loss': 1.3419, 'grad_norm': 6.954431533813477, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 602880, 'step': 11, 'step_time_sec': 4.81, 'avg_step_time_sec': 6.36, 'time_to_completion_sec': 57.22, 'estimated_total_time_sec': 127.15, 'step_peak_memory_allocated_MB': 50871.35, 'step_peak_memory_reserved_MB': 72198.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 11179.92, 'avg_tokens_per_second': 8673.66}
{'loss': 1.2475, 'grad_norm': 5.294881343841553, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 656640, 'step': 12, 'step_time_sec': 6.02, 'avg_step_time_sec': 6.33, 'time_to_completion_sec': 50.61, 'estimated_total_time_sec': 126.53, 'step_peak_memory_allocated_MB': 49527.21, 'step_peak_memory_reserved_MB': 72198.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 8931.41, 'avg_tokens_per_second': 8695.96}
{'loss': 1.2328, 'grad_norm': 3.3896217346191406, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 703488, 'step': 13, 'step_time_sec': 3.69, 'avg_step_time_sec': 6.11, 'time_to_completion_sec': 42.75, 'estimated_total_time_sec': 122.14, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 72198.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79374.0, 'step_tokens_per_second': 12687.63, 'avg_tokens_per_second': 8897.07}
{'loss': 1.2363, 'grad_norm': 3.3445141315460205, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.06, 'num_input_tokens_seen': 769536, 'step': 14, 'step_time_sec': 8.26, 'avg_step_time_sec': 6.27, 'time_to_completion_sec': 37.64, 'estimated_total_time_sec': 125.45, 'step_peak_memory_allocated_MB': 57592.78, 'step_peak_memory_reserved_MB': 79606.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 7997.57, 'avg_tokens_per_second': 8805.97}
{'loss': 1.1635, 'grad_norm': 3.3586924076080322, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.06, 'num_input_tokens_seen': 817920, 'step': 15, 'step_time_sec': 4.0, 'avg_step_time_sec': 6.11, 'time_to_completion_sec': 30.55, 'estimated_total_time_sec': 122.21, 'step_peak_memory_allocated_MB': 44153.06, 'step_peak_memory_reserved_MB': 69132.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 12082.43, 'avg_tokens_per_second': 8959.34}
{'loss': 1.1842, 'grad_norm': 3.103102922439575, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.07, 'num_input_tokens_seen': 881664, 'step': 16, 'step_time_sec': 7.05, 'avg_step_time_sec': 6.17, 'time_to_completion_sec': 24.69, 'estimated_total_time_sec': 123.46, 'step_peak_memory_allocated_MB': 54906.66, 'step_peak_memory_reserved_MB': 77400.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 9047.29, 'avg_tokens_per_second': 8966.03}
{'loss': 1.1623, 'grad_norm': 2.907714605331421, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.07, 'num_input_tokens_seen': 954624, 'step': 17, 'step_time_sec': 8.63, 'avg_step_time_sec': 6.33, 'time_to_completion_sec': 18.98, 'estimated_total_time_sec': 126.53, 'step_peak_memory_allocated_MB': 53559.79, 'step_peak_memory_reserved_MB': 71140.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 8456.76, 'avg_tokens_per_second': 8922.63}
{'loss': 1.1859, 'grad_norm': 2.871917724609375, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.07, 'num_input_tokens_seen': 1017600, 'step': 18, 'step_time_sec': 7.73, 'avg_step_time_sec': 6.41, 'time_to_completion_sec': 12.82, 'estimated_total_time_sec': 128.18, 'step_peak_memory_allocated_MB': 54906.66, 'step_peak_memory_reserved_MB': 71140.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 8144.42, 'avg_tokens_per_second': 8867.4}
{'loss': 1.1699, 'grad_norm': 2.9953675270080566, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.08, 'num_input_tokens_seen': 1068288, 'step': 19, 'step_time_sec': 4.9, 'avg_step_time_sec': 6.33, 'time_to_completion_sec': 6.33, 'estimated_total_time_sec': 126.51, 'step_peak_memory_allocated_MB': 41463.32, 'step_peak_memory_reserved_MB': 71140.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 10344.07, 'avg_tokens_per_second': 8930.95}
{'loss': 1.1341, 'grad_norm': 2.9262733459472656, 'learning_rate': 0.0, 'epoch': 0.08, 'num_input_tokens_seen': 1122048, 'step': 20, 'step_time_sec': 6.69, 'avg_step_time_sec': 6.34, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 126.89, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 71140.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 8031.01, 'avg_tokens_per_second': 8880.98}
{'train_runtime': 128.7739, 'train_samples_per_second': 29.82, 'train_steps_per_second': 0.155, 'train_loss': 1.3710741817951202, 'epoch': 0.08, 'num_input_tokens_seen': 1122048, 'step': 20, 'step_time_sec': 6.69, 'avg_step_time_sec': 6.34, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 126.89, 'step_peak_memory_allocated_MB': 46839.06, 'step_peak_memory_reserved_MB': 71140.0, 'total_peak_memory_allocated_MB': 57592.78, 'total_peak_memory_reserved_MB': 79606.0, 'step_tokens_per_second': 8031.01, 'avg_tokens_per_second': 8880.98}
