{'loss': 1.873, 'grad_norm': 22.65117073059082, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 59904}
{'loss': 1.881, 'grad_norm': 24.072547912597656, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 115200, 'step': 2, 'step_time_sec': 5.1, 'avg_step_time_sec': 5.1, 'time_to_completion_sec': 91.87, 'estimated_total_time_sec': 102.08, 'step_peak_memory_allocated_MB': 39006.32, 'step_peak_memory_reserved_MB': 58330.0, 'total_peak_memory_allocated_MB': 39006.32, 'total_peak_memory_reserved_MB': 58330.0, 'step_tokens_per_second': 10833.6, 'avg_tokens_per_second': 10833.6}
{'loss': 1.7112, 'grad_norm': 19.93707847595215, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 194304, 'step': 3, 'step_time_sec': 6.81, 'avg_step_time_sec': 5.96, 'time_to_completion_sec': 101.24, 'estimated_total_time_sec': 119.1, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 60336.0, 'total_peak_memory_allocated_MB': 39006.32, 'total_peak_memory_reserved_MB': 60336.0, 'step_tokens_per_second': 11622.54, 'avg_tokens_per_second': 11284.44}
{'loss': 1.4834, 'grad_norm': 17.982385635375977, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 257280, 'step': 4, 'step_time_sec': 6.48, 'avg_step_time_sec': 6.13, 'time_to_completion_sec': 98.09, 'estimated_total_time_sec': 122.61, 'step_peak_memory_allocated_MB': 40311.12, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 9716.86, 'avg_tokens_per_second': 10732.02}
{'loss': 1.4431, 'grad_norm': 12.190630912780762, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.02, 'num_input_tokens_seen': 315648, 'step': 5, 'step_time_sec': 5.66, 'avg_step_time_sec': 6.01, 'time_to_completion_sec': 90.19, 'estimated_total_time_sec': 120.25, 'step_peak_memory_allocated_MB': 38307.77, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10314.29, 'avg_tokens_per_second': 10633.73}
{'loss': 1.443, 'grad_norm': 6.260019779205322, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 369408, 'step': 6, 'step_time_sec': 4.17, 'avg_step_time_sec': 5.64, 'time_to_completion_sec': 79.03, 'estimated_total_time_sec': 112.89, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 12881.49, 'avg_tokens_per_second': 10966.11}
{'loss': 1.4285, 'grad_norm': 6.388356685638428, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.03, 'num_input_tokens_seen': 412416, 'step': 7, 'step_time_sec': 3.31, 'avg_step_time_sec': 5.26, 'time_to_completion_sec': 68.32, 'estimated_total_time_sec': 105.11, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 12998.55, 'avg_tokens_per_second': 11179.37}
{'loss': 1.3847, 'grad_norm': 5.711267471313477, 'learning_rate': 4.5e-06, 'epoch': 0.03, 'num_input_tokens_seen': 470784, 'step': 8, 'step_time_sec': 5.17, 'avg_step_time_sec': 5.24, 'time_to_completion_sec': 62.91, 'estimated_total_time_sec': 104.86, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 11294.62, 'avg_tokens_per_second': 11195.6}
{'loss': 1.3582, 'grad_norm': 6.415091514587402, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.04, 'num_input_tokens_seen': 532224, 'step': 9, 'step_time_sec': 6.07, 'avg_step_time_sec': 5.35, 'time_to_completion_sec': 58.81, 'estimated_total_time_sec': 106.92, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10124.01, 'avg_tokens_per_second': 11043.54}
{'loss': 1.3475, 'grad_norm': 5.998461723327637, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.04, 'num_input_tokens_seen': 579072, 'step': 10, 'step_time_sec': 4.21, 'avg_step_time_sec': 5.22, 'time_to_completion_sec': 52.2, 'estimated_total_time_sec': 104.41, 'step_peak_memory_allocated_MB': 38307.75, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 11117.43, 'avg_tokens_per_second': 11050.17}
{'loss': 1.3057, 'grad_norm': 8.473000526428223, 'learning_rate': 3e-06, 'epoch': 0.05, 'num_input_tokens_seen': 625152, 'step': 11, 'step_time_sec': 3.99, 'avg_step_time_sec': 5.1, 'time_to_completion_sec': 45.87, 'estimated_total_time_sec': 101.94, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 11557.65, 'avg_tokens_per_second': 11089.87}
{'loss': 1.2663, 'grad_norm': 4.3313751220703125, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.05, 'num_input_tokens_seen': 685824, 'step': 12, 'step_time_sec': 5.74, 'avg_step_time_sec': 5.16, 'time_to_completion_sec': 41.24, 'estimated_total_time_sec': 103.11, 'step_peak_memory_allocated_MB': 39440.58, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10566.48, 'avg_tokens_per_second': 11036.88}
{'loss': 1.2466, 'grad_norm': 3.4992611408233643, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.05, 'num_input_tokens_seen': 745728, 'step': 13, 'step_time_sec': 4.97, 'avg_step_time_sec': 5.14, 'time_to_completion_sec': 35.98, 'estimated_total_time_sec': 102.8, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 12059.01, 'avg_tokens_per_second': 11119.2}
{'loss': 1.2493, 'grad_norm': 3.2345900535583496, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.06, 'num_input_tokens_seen': 814080, 'step': 14, 'step_time_sec': 6.83, 'avg_step_time_sec': 5.27, 'time_to_completion_sec': 31.62, 'estimated_total_time_sec': 105.4, 'step_peak_memory_allocated_MB': 38572.05, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10006.84, 'avg_tokens_per_second': 11008.29}
{'loss': 1.2177, 'grad_norm': 3.311893939971924, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.06, 'num_input_tokens_seen': 861696, 'step': 15, 'step_time_sec': 3.79, 'avg_step_time_sec': 5.16, 'time_to_completion_sec': 25.82, 'estimated_total_time_sec': 103.29, 'step_peak_memory_allocated_MB': 38307.8, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 12547.46, 'avg_tokens_per_second': 11089.08}
{'loss': 1.1675, 'grad_norm': 2.9601807594299316, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.07, 'num_input_tokens_seen': 918528, 'step': 16, 'step_time_sec': 5.52, 'avg_step_time_sec': 5.19, 'time_to_completion_sec': 20.75, 'estimated_total_time_sec': 103.76, 'step_peak_memory_allocated_MB': 38307.77, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10299.95, 'avg_tokens_per_second': 11033.13}
{'loss': 1.1542, 'grad_norm': 2.9812285900115967, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.07, 'num_input_tokens_seen': 978432, 'step': 17, 'step_time_sec': 5.76, 'avg_step_time_sec': 5.22, 'time_to_completion_sec': 15.67, 'estimated_total_time_sec': 104.48, 'step_peak_memory_allocated_MB': 39440.58, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 10397.23, 'avg_tokens_per_second': 10989.29}
{'loss': 1.2175, 'grad_norm': 3.1608242988586426, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.07, 'num_input_tokens_seen': 1032960, 'step': 18, 'step_time_sec': 4.64, 'avg_step_time_sec': 5.19, 'time_to_completion_sec': 10.38, 'estimated_total_time_sec': 103.8, 'step_peak_memory_allocated_MB': 38354.39, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 11742.62, 'avg_tokens_per_second': 11028.94}
{'loss': 1.2433, 'grad_norm': 3.3054628372192383, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.08, 'num_input_tokens_seen': 1088256, 'step': 19, 'step_time_sec': 6.35, 'avg_step_time_sec': 5.25, 'time_to_completion_sec': 5.25, 'estimated_total_time_sec': 105.09, 'step_peak_memory_allocated_MB': 40093.71, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 8705.34, 'avg_tokens_per_second': 10872.89}
{'loss': 1.215, 'grad_norm': 2.64066219329834, 'learning_rate': 0.0, 'epoch': 0.08, 'num_input_tokens_seen': 1157376, 'step': 20, 'step_time_sec': 6.05, 'avg_step_time_sec': 5.3, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 105.93, 'step_peak_memory_allocated_MB': 38307.85, 'step_peak_memory_reserved_MB': 64746.0, 'total_peak_memory_allocated_MB': 40311.12, 'total_peak_memory_reserved_MB': 64746.0, 'step_tokens_per_second': 11423.82, 'avg_tokens_per_second': 10906.01}
