{'loss': 1.8839, 'grad_norm': 23.677766799926758, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 92160}
{'loss': 1.8756, 'grad_norm': 22.077489852905273, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 186368, 'step': 2, 'step_time_sec': 6.77, 'avg_step_time_sec': 6.77, 'time_to_completion_sec': 121.92, 'estimated_total_time_sec': 135.47, 'step_peak_memory_allocated_MB': 38823.23, 'step_peak_memory_reserved_MB': 56444.0, 'total_peak_memory_allocated_MB': 38823.23, 'total_peak_memory_reserved_MB': 56444.0, 'step_tokens_per_second': 13908.32, 'avg_tokens_per_second': 13908.32}
{'loss': 1.785, 'grad_norm': 21.10395622253418, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 263168, 'step': 3, 'step_time_sec': 5.43, 'avg_step_time_sec': 6.1, 'time_to_completion_sec': 103.7, 'estimated_total_time_sec': 122.0, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 58450.0, 'total_peak_memory_allocated_MB': 38823.23, 'total_peak_memory_reserved_MB': 58450.0, 'step_tokens_per_second': 14151.69, 'avg_tokens_per_second': 14016.57}
{'loss': 1.5829, 'grad_norm': 16.728429794311523, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 344064, 'step': 4, 'step_time_sec': 6.57, 'avg_step_time_sec': 6.26, 'time_to_completion_sec': 100.09, 'estimated_total_time_sec': 125.12, 'step_peak_memory_allocated_MB': 38629.6, 'step_peak_memory_reserved_MB': 58450.0, 'total_peak_memory_allocated_MB': 38823.23, 'total_peak_memory_reserved_MB': 58450.0, 'step_tokens_per_second': 12318.8, 'avg_tokens_per_second': 13422.5}
{'loss': 1.4905, 'grad_norm': 12.110160827636719, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 410624, 'step': 5, 'step_time_sec': 5.12, 'avg_step_time_sec': 5.97, 'time_to_completion_sec': 89.58, 'estimated_total_time_sec': 119.44, 'step_peak_memory_allocated_MB': 38307.87, 'step_peak_memory_reserved_MB': 58450.0, 'total_peak_memory_allocated_MB': 38823.23, 'total_peak_memory_reserved_MB': 58450.0, 'step_tokens_per_second': 12996.25, 'avg_tokens_per_second': 13331.12}
{'loss': 1.4355, 'grad_norm': 5.867228031158447, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 494592, 'step': 6, 'step_time_sec': 6.77, 'avg_step_time_sec': 6.13, 'time_to_completion_sec': 85.85, 'estimated_total_time_sec': 122.64, 'step_peak_memory_allocated_MB': 38823.23, 'step_peak_memory_reserved_MB': 59178.0, 'total_peak_memory_allocated_MB': 38823.23, 'total_peak_memory_reserved_MB': 59178.0, 'step_tokens_per_second': 12399.45, 'avg_tokens_per_second': 13125.35}
{'loss': 1.4096, 'grad_norm': 5.420464992523193, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 582656, 'step': 7, 'step_time_sec': 7.58, 'avg_step_time_sec': 6.37, 'time_to_completion_sec': 82.85, 'estimated_total_time_sec': 127.45, 'step_peak_memory_allocated_MB': 40100.28, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 11624.57, 'avg_tokens_per_second': 12828.0}
{'loss': 1.3568, 'grad_norm': 6.25463342666626, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 669696, 'step': 8, 'step_time_sec': 6.13, 'avg_step_time_sec': 6.34, 'time_to_completion_sec': 76.06, 'estimated_total_time_sec': 126.76, 'step_peak_memory_allocated_MB': 38307.89, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 14199.28, 'avg_tokens_per_second': 13017.47}
{'loss': 1.3663, 'grad_norm': 6.5028977394104, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 753664, 'step': 9, 'step_time_sec': 6.69, 'avg_step_time_sec': 6.38, 'time_to_completion_sec': 70.2, 'estimated_total_time_sec': 127.63, 'step_peak_memory_allocated_MB': 38307.89, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 12555.6, 'avg_tokens_per_second': 12956.97}
{'loss': 1.383, 'grad_norm': 13.150283813476562, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 824320, 'step': 10, 'step_time_sec': 5.43, 'avg_step_time_sec': 6.28, 'time_to_completion_sec': 62.76, 'estimated_total_time_sec': 125.53, 'step_peak_memory_allocated_MB': 38308.03, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 13005.44, 'avg_tokens_per_second': 12961.63}
{'loss': 1.2148, 'grad_norm': 5.126699924468994, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 921600, 'step': 11, 'step_time_sec': 7.24, 'avg_step_time_sec': 6.37, 'time_to_completion_sec': 57.35, 'estimated_total_time_sec': 127.45, 'step_peak_memory_allocated_MB': 38308.05, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 13444.18, 'avg_tokens_per_second': 13016.42}
{'loss': 1.2284, 'grad_norm': 3.7259299755096436, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1009664, 'step': 12, 'step_time_sec': 8.15, 'avg_step_time_sec': 6.53, 'time_to_completion_sec': 52.27, 'estimated_total_time_sec': 130.68, 'step_peak_memory_allocated_MB': 38307.91, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 10800.73, 'avg_tokens_per_second': 12765.08}
{'loss': 1.2357, 'grad_norm': 2.851957082748413, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1090560, 'step': 13, 'step_time_sec': 7.3, 'avg_step_time_sec': 6.6, 'time_to_completion_sec': 46.18, 'estimated_total_time_sec': 131.95, 'step_peak_memory_allocated_MB': 38307.82, 'step_peak_memory_reserved_MB': 59990.0, 'total_peak_memory_allocated_MB': 40100.28, 'total_peak_memory_reserved_MB': 59990.0, 'step_tokens_per_second': 11087.45, 'avg_tokens_per_second': 12610.47}
