{'loss': 8.7894, 'grad_norm': 551.9962158203125, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 9600}
{'loss': 8.4524, 'grad_norm': 582.9940795898438, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 16896, 'step': 2, 'step_time_sec': 0.95, 'avg_step_time_sec': 0.95, 'time_to_completion_sec': 17.11, 'estimated_total_time_sec': 19.01, 'step_peak_memory_allocated_MB': 34547.6, 'step_peak_memory_reserved_MB': 41132.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41132.0, 'step_tokens_per_second': 7677.44, 'avg_tokens_per_second': 7677.44}
{'loss': 4.6998, 'grad_norm': 229.82655334472656, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 24576, 'step': 3, 'step_time_sec': 1.04, 'avg_step_time_sec': 0.99, 'time_to_completion_sec': 16.88, 'estimated_total_time_sec': 19.86, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 7415.41, 'avg_tokens_per_second': 7540.79}
{'loss': 1.9743, 'grad_norm': 131.34976196289062, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 32128, 'step': 4, 'step_time_sec': 1.09, 'avg_step_time_sec': 1.02, 'time_to_completion_sec': 16.39, 'estimated_total_time_sec': 20.49, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 6946.3, 'avg_tokens_per_second': 7330.48}
{'loss': 1.6978, 'grad_norm': 68.03820037841797, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.0, 'num_input_tokens_seen': 37248, 'step': 5, 'step_time_sec': 0.62, 'avg_step_time_sec': 0.92, 'time_to_completion_sec': 13.85, 'estimated_total_time_sec': 18.46, 'step_peak_memory_allocated_MB': 34547.56, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 8261.3, 'avg_tokens_per_second': 7486.69}
{'loss': 1.2757, 'grad_norm': 22.311237335205078, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.0, 'num_input_tokens_seen': 45440, 'step': 6, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.91, 'time_to_completion_sec': 12.72, 'estimated_total_time_sec': 18.17, 'step_peak_memory_allocated_MB': 34547.59, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 9649.66, 'avg_tokens_per_second': 7890.98}
{'loss': 1.1081, 'grad_norm': 32.077362060546875, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.0, 'num_input_tokens_seen': 53632, 'step': 7, 'step_time_sec': 1.12, 'avg_step_time_sec': 0.94, 'time_to_completion_sec': 12.27, 'estimated_total_time_sec': 18.88, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 7301.96, 'avg_tokens_per_second': 7774.31}
{'loss': 1.1042, 'grad_norm': 18.438034057617188, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 59392, 'step': 8, 'step_time_sec': 0.65, 'avg_step_time_sec': 0.9, 'time_to_completion_sec': 10.83, 'estimated_total_time_sec': 18.04, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41740.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41740.0, 'step_tokens_per_second': 8845.68, 'avg_tokens_per_second': 7884.78}
{'loss': 1.0942, 'grad_norm': 19.357805252075195, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 68736, 'step': 9, 'step_time_sec': 1.01, 'avg_step_time_sec': 0.92, 'time_to_completion_sec': 10.07, 'estimated_total_time_sec': 18.31, 'step_peak_memory_allocated_MB': 34547.59, 'step_peak_memory_reserved_MB': 41990.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41990.0, 'step_tokens_per_second': 9255.85, 'avg_tokens_per_second': 8073.75}
{'loss': 0.963, 'grad_norm': 13.209944725036621, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 74624, 'step': 10, 'step_time_sec': 0.71, 'avg_step_time_sec': 0.89, 'time_to_completion_sec': 8.92, 'estimated_total_time_sec': 17.84, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41990.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41990.0, 'step_tokens_per_second': 8345.26, 'avg_tokens_per_second': 8097.61}
{'loss': 1.0612, 'grad_norm': 11.710097312927246, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 81536, 'step': 11, 'step_time_sec': 0.8, 'avg_step_time_sec': 0.88, 'time_to_completion_sec': 7.95, 'estimated_total_time_sec': 17.67, 'step_peak_memory_allocated_MB': 34547.57, 'step_peak_memory_reserved_MB': 41990.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41990.0, 'step_tokens_per_second': 8599.29, 'avg_tokens_per_second': 8143.26}
{'loss': 1.0877, 'grad_norm': 11.608513832092285, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 91136, 'step': 12, 'step_time_sec': 1.24, 'avg_step_time_sec': 0.92, 'time_to_completion_sec': 7.33, 'estimated_total_time_sec': 18.32, 'step_peak_memory_allocated_MB': 34547.58, 'step_peak_memory_reserved_MB': 41990.0, 'total_peak_memory_allocated_MB': 34547.6, 'total_peak_memory_reserved_MB': 41990.0, 'step_tokens_per_second': 7735.84, 'avg_tokens_per_second': 8093.07}
