{'loss': 8.3276, 'grad_norm': 584.6485595703125, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 325632}
{'loss': 8.387, 'grad_norm': 585.7866821289062, 'learning_rate': 6e-06, 'epoch': 0.03, 'num_input_tokens_seen': 651264, 'step': 2, 'step_time_sec': 23.29, 'avg_step_time_sec': 23.29, 'time_to_completion_sec': 419.14, 'estimated_total_time_sec': 465.71, 'step_peak_memory_allocated_MB': 57686.7, 'step_peak_memory_reserved_MB': 73288.0, 'total_peak_memory_allocated_MB': 57686.7, 'total_peak_memory_reserved_MB': 73288.0, 'step_tokens_per_second': 13984.44, 'avg_tokens_per_second': 13984.44}
{'loss': 4.0666, 'grad_norm': 200.62734985351562, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.05, 'num_input_tokens_seen': 964608, 'step': 3, 'step_time_sec': 21.69, 'avg_step_time_sec': 22.49, 'time_to_completion_sec': 382.27, 'estimated_total_time_sec': 449.72, 'step_peak_memory_allocated_MB': 56409.11, 'step_peak_memory_reserved_MB': 73288.0, 'total_peak_memory_allocated_MB': 57686.7, 'total_peak_memory_reserved_MB': 73288.0, 'step_tokens_per_second': 14448.35, 'avg_tokens_per_second': 14208.15}
{'loss': 2.0479, 'grad_norm': 103.16816711425781, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1274880, 'step': 4, 'step_time_sec': 22.31, 'avg_step_time_sec': 22.43, 'time_to_completion_sec': 358.84, 'estimated_total_time_sec': 448.55, 'step_peak_memory_allocated_MB': 51300.97, 'step_peak_memory_reserved_MB': 73790.0, 'total_peak_memory_allocated_MB': 57686.7, 'total_peak_memory_reserved_MB': 73790.0, 'step_tokens_per_second': 13907.65, 'avg_tokens_per_second': 14108.51}
{'loss': 1.6155, 'grad_norm': 43.693397521972656, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1655808, 'step': 5, 'step_time_sec': 24.23, 'avg_step_time_sec': 22.88, 'time_to_completion_sec': 343.17, 'estimated_total_time_sec': 457.56, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79398.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 15721.25, 'avg_tokens_per_second': 14535.52}
{'loss': 1.2259, 'grad_norm': 23.19283676147461, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.1, 'num_input_tokens_seen': 2002944, 'step': 6, 'step_time_sec': 24.08, 'avg_step_time_sec': 23.12, 'time_to_completion_sec': 323.64, 'estimated_total_time_sec': 462.35, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79082.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14418.82, 'avg_tokens_per_second': 14511.22}
{'loss': 1.1039, 'grad_norm': 12.629443168640137, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.11, 'num_input_tokens_seen': 2334720, 'step': 7, 'step_time_sec': 23.17, 'avg_step_time_sec': 23.13, 'time_to_completion_sec': 300.65, 'estimated_total_time_sec': 462.53, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79208.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14317.9, 'avg_tokens_per_second': 14478.93}
{'loss': 1.0121, 'grad_norm': 9.603495597839355, 'learning_rate': 4.5e-06, 'epoch': 0.13, 'num_input_tokens_seen': 2641920, 'step': 8, 'step_time_sec': 21.93, 'avg_step_time_sec': 22.96, 'time_to_completion_sec': 275.46, 'estimated_total_time_sec': 459.1, 'step_peak_memory_allocated_MB': 53855.53, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14010.45, 'avg_tokens_per_second': 14415.01}
{'loss': 1.0245, 'grad_norm': 9.331231117248535, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.15, 'num_input_tokens_seen': 2989056, 'step': 9, 'step_time_sec': 23.25, 'avg_step_time_sec': 22.99, 'time_to_completion_sec': 252.91, 'estimated_total_time_sec': 459.84, 'step_peak_memory_allocated_MB': 53855.53, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14929.46, 'avg_tokens_per_second': 14480.04}
{'loss': 0.9942, 'grad_norm': 7.184658050537109, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.16, 'num_input_tokens_seen': 3293184, 'step': 10, 'step_time_sec': 23.94, 'avg_step_time_sec': 23.1, 'time_to_completion_sec': 230.97, 'estimated_total_time_sec': 461.94, 'step_peak_memory_allocated_MB': 52579.03, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 12705.36, 'avg_tokens_per_second': 14275.68}
{'loss': 0.9631, 'grad_norm': 5.507652282714844, 'learning_rate': 3e-06, 'epoch': 0.18, 'num_input_tokens_seen': 3658752, 'step': 11, 'step_time_sec': 23.6, 'avg_step_time_sec': 23.15, 'time_to_completion_sec': 208.32, 'estimated_total_time_sec': 462.94, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 15492.05, 'avg_tokens_per_second': 14399.68}
{'loss': 0.9615, 'grad_norm': 5.572799205780029, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.2, 'num_input_tokens_seen': 3956736, 'step': 12, 'step_time_sec': 22.21, 'avg_step_time_sec': 23.06, 'time_to_completion_sec': 184.5, 'estimated_total_time_sec': 461.24, 'step_peak_memory_allocated_MB': 52579.03, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 13415.15, 'avg_tokens_per_second': 14313.48}
{'loss': 0.9226, 'grad_norm': 5.346349716186523, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.21, 'num_input_tokens_seen': 4279296, 'step': 13, 'step_time_sec': 23.4, 'avg_step_time_sec': 23.09, 'time_to_completion_sec': 161.63, 'estimated_total_time_sec': 461.81, 'step_peak_memory_allocated_MB': 62798.35, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 13783.17, 'avg_tokens_per_second': 14268.69}
{'loss': 0.9582, 'grad_norm': 5.130701541900635, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.23, 'num_input_tokens_seen': 4666368, 'step': 14, 'step_time_sec': 24.68, 'avg_step_time_sec': 23.21, 'time_to_completion_sec': 139.28, 'estimated_total_time_sec': 464.25, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 15684.8, 'avg_tokens_per_second': 14384.5}
{'loss': 0.94, 'grad_norm': 4.983356475830078, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.25, 'num_input_tokens_seen': 5059584, 'step': 15, 'step_time_sec': 24.68, 'avg_step_time_sec': 23.32, 'time_to_completion_sec': 116.59, 'estimated_total_time_sec': 466.35, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 15931.04, 'avg_tokens_per_second': 14501.43}
{'loss': 0.9311, 'grad_norm': 4.871270179748535, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.26, 'num_input_tokens_seen': 5409792, 'step': 16, 'step_time_sec': 23.76, 'avg_step_time_sec': 23.35, 'time_to_completion_sec': 93.39, 'estimated_total_time_sec': 466.94, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14740.91, 'avg_tokens_per_second': 14517.68}
{'loss': 0.9128, 'grad_norm': 4.922505855560303, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.28, 'num_input_tokens_seen': 5683200, 'step': 17, 'step_time_sec': 16.98, 'avg_step_time_sec': 22.95, 'time_to_completion_sec': 68.85, 'estimated_total_time_sec': 458.98, 'step_peak_memory_allocated_MB': 50024.84, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 16102.48, 'avg_tokens_per_second': 14590.96}
{'loss': 0.9168, 'grad_norm': 4.78842306137085, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.3, 'num_input_tokens_seen': 6021120, 'step': 18, 'step_time_sec': 23.05, 'avg_step_time_sec': 22.95, 'time_to_completion_sec': 45.91, 'estimated_total_time_sec': 459.1, 'step_peak_memory_allocated_MB': 56409.11, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14661.63, 'avg_tokens_per_second': 14595.14}
{'loss': 0.9057, 'grad_norm': 4.737034797668457, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.31, 'num_input_tokens_seen': 6309888, 'step': 19, 'step_time_sec': 18.53, 'avg_step_time_sec': 22.71, 'time_to_completion_sec': 22.71, 'estimated_total_time_sec': 454.18, 'step_peak_memory_allocated_MB': 55132.23, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 15585.6, 'avg_tokens_per_second': 14640.03}
{'loss': 0.9088, 'grad_norm': 4.812817573547363, 'learning_rate': 0.0, 'epoch': 0.33, 'num_input_tokens_seen': 6650880, 'step': 20, 'step_time_sec': 23.61, 'avg_step_time_sec': 22.76, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 455.13, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14441.35, 'avg_tokens_per_second': 14629.18}
{'train_runtime': 459.5949, 'train_samples_per_second': 33.421, 'train_steps_per_second': 0.044, 'train_loss': 1.9563005179166795, 'epoch': 0.33, 'num_input_tokens_seen': 6650880, 'step': 20, 'step_time_sec': 23.61, 'avg_step_time_sec': 22.76, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 455.13, 'step_peak_memory_allocated_MB': 64076.36, 'step_peak_memory_reserved_MB': 79314.0, 'total_peak_memory_allocated_MB': 64076.36, 'total_peak_memory_reserved_MB': 79398.0, 'step_tokens_per_second': 14441.35, 'avg_tokens_per_second': 14629.18}
