{'loss': 1.4547, 'grad_norm': 12.388225555419922, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 88064}
{'loss': 1.4334, 'grad_norm': 11.921110153198242, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 198656, 'step': 2, 'step_time_sec': 6.38, 'avg_step_time_sec': 6.38, 'time_to_completion_sec': 114.82, 'estimated_total_time_sec': 127.58, 'step_peak_memory_allocated_MB': 29299.1, 'step_peak_memory_reserved_MB': 44216.0, 'total_peak_memory_allocated_MB': 29299.1, 'total_peak_memory_reserved_MB': 44216.0, 'step_tokens_per_second': 17336.61, 'avg_tokens_per_second': 17336.61}
{'loss': 1.433, 'grad_norm': 11.457634925842285, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 300032, 'step': 3, 'step_time_sec': 5.85, 'avg_step_time_sec': 6.11, 'time_to_completion_sec': 103.93, 'estimated_total_time_sec': 122.27, 'step_peak_memory_allocated_MB': 26331.43, 'step_peak_memory_reserved_MB': 44216.0, 'total_peak_memory_allocated_MB': 29299.1, 'total_peak_memory_reserved_MB': 44216.0, 'step_tokens_per_second': 17335.58, 'avg_tokens_per_second': 17336.12}
{'loss': 1.253, 'grad_norm': 7.518397331237793, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 412672, 'step': 4, 'step_time_sec': 6.88, 'avg_step_time_sec': 6.37, 'time_to_completion_sec': 101.92, 'estimated_total_time_sec': 127.4, 'step_peak_memory_allocated_MB': 30485.87, 'step_peak_memory_reserved_MB': 56228.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56228.0, 'step_tokens_per_second': 16364.41, 'avg_tokens_per_second': 16986.12}
{'loss': 1.2558, 'grad_norm': 6.1146745681762695, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 521216, 'step': 5, 'step_time_sec': 6.86, 'avg_step_time_sec': 6.49, 'time_to_completion_sec': 97.41, 'estimated_total_time_sec': 129.88, 'step_peak_memory_allocated_MB': 22772.05, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 15811.57, 'avg_tokens_per_second': 16675.7}
{'loss': 1.1944, 'grad_norm': 3.7603023052215576, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 635904, 'step': 6, 'step_time_sec': 6.88, 'avg_step_time_sec': 6.57, 'time_to_completion_sec': 92.0, 'estimated_total_time_sec': 131.43, 'step_peak_memory_allocated_MB': 30485.87, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 16663.27, 'avg_tokens_per_second': 16673.1}
{'loss': 1.1535, 'grad_norm': 3.728325366973877, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 726016, 'step': 7, 'step_time_sec': 6.34, 'avg_step_time_sec': 6.53, 'time_to_completion_sec': 84.93, 'estimated_total_time_sec': 130.66, 'step_peak_memory_allocated_MB': 19808.0, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 14211.18, 'avg_tokens_per_second': 16274.85}
{'loss': 1.0879, 'grad_norm': 1.9909356832504272, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 819200, 'step': 8, 'step_time_sec': 6.14, 'avg_step_time_sec': 6.48, 'time_to_completion_sec': 77.73, 'estimated_total_time_sec': 129.54, 'step_peak_memory_allocated_MB': 28704.82, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 15172.86, 'avg_tokens_per_second': 16125.58}
{'loss': 1.0637, 'grad_norm': 1.553594946861267, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 925696, 'step': 9, 'step_time_sec': 6.89, 'avg_step_time_sec': 6.53, 'time_to_completion_sec': 71.82, 'estimated_total_time_sec': 130.57, 'step_peak_memory_allocated_MB': 30485.87, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 15458.46, 'avg_tokens_per_second': 16037.59}
{'loss': 1.1161, 'grad_norm': 1.519158124923706, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1027072, 'step': 10, 'step_time_sec': 6.82, 'avg_step_time_sec': 6.56, 'time_to_completion_sec': 65.61, 'estimated_total_time_sec': 131.22, 'step_peak_memory_allocated_MB': 22179.11, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 14867.02, 'avg_tokens_per_second': 15902.41}
{'loss': 1.0357, 'grad_norm': 1.3218764066696167, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1150976, 'step': 11, 'step_time_sec': 6.9, 'avg_step_time_sec': 6.6, 'time_to_completion_sec': 59.36, 'estimated_total_time_sec': 131.9, 'step_peak_memory_allocated_MB': 30485.87, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 17949.95, 'avg_tokens_per_second': 16116.72}
{'loss': 1.0445, 'grad_norm': 1.12213134765625, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1262592, 'step': 12, 'step_time_sec': 6.82, 'avg_step_time_sec': 6.62, 'time_to_completion_sec': 52.93, 'estimated_total_time_sec': 132.32, 'step_peak_memory_allocated_MB': 25737.65, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 16360.25, 'avg_tokens_per_second': 16139.55}
{'loss': 1.0474, 'grad_norm': 1.1356929540634155, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1346560, 'step': 13, 'step_time_sec': 5.43, 'avg_step_time_sec': 6.52, 'time_to_completion_sec': 45.62, 'estimated_total_time_sec': 130.35, 'step_peak_memory_allocated_MB': 23958.28, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 15451.11, 'avg_tokens_per_second': 16091.71}
{'loss': 1.0873, 'grad_norm': 1.1986011266708374, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1448960, 'step': 14, 'step_time_sec': 6.61, 'avg_step_time_sec': 6.52, 'time_to_completion_sec': 39.15, 'estimated_total_time_sec': 130.49, 'step_peak_memory_allocated_MB': 25737.65, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 15490.49, 'avg_tokens_per_second': 16044.85}
{'loss': 1.0238, 'grad_norm': 1.1593937873840332, 'learning_rate': 1.0716371709403819e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1532928, 'step': 15, 'step_time_sec': 6.82, 'avg_step_time_sec': 6.55, 'time_to_completion_sec': 32.73, 'estimated_total_time_sec': 130.92, 'step_peak_memory_allocated_MB': 22772.05, 'step_peak_memory_reserved_MB': 56604.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56604.0, 'step_tokens_per_second': 12306.81, 'avg_tokens_per_second': 15766.55}
{'loss': 1.0421, 'grad_norm': 1.0267448425292969, 'learning_rate': 7.018666706430663e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1635328, 'step': 16, 'step_time_sec': 6.65, 'avg_step_time_sec': 6.55, 'time_to_completion_sec': 26.21, 'estimated_total_time_sec': 131.06, 'step_peak_memory_allocated_MB': 29892.22, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 15397.35, 'avg_tokens_per_second': 15741.57}
{'loss': 1.0977, 'grad_norm': 0.9888690710067749, 'learning_rate': 4.019237886466839e-07, 'epoch': 0.09, 'num_input_tokens_seen': 1739776, 'step': 17, 'step_time_sec': 5.85, 'avg_step_time_sec': 6.51, 'time_to_completion_sec': 19.53, 'estimated_total_time_sec': 130.18, 'step_peak_memory_allocated_MB': 25144.41, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 17851.4, 'avg_tokens_per_second': 15860.1}
{'loss': 1.0172, 'grad_norm': 1.0392980575561523, 'learning_rate': 1.8092213764227505e-07, 'epoch': 0.1, 'num_input_tokens_seen': 1833984, 'step': 18, 'step_time_sec': 6.87, 'avg_step_time_sec': 6.53, 'time_to_completion_sec': 13.06, 'estimated_total_time_sec': 130.6, 'step_peak_memory_allocated_MB': 23958.28, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 13720.21, 'avg_tokens_per_second': 15727.74}
{'loss': 1.0461, 'grad_norm': 1.113399624824524, 'learning_rate': 4.557674096337594e-08, 'epoch': 0.1, 'num_input_tokens_seen': 1915904, 'step': 19, 'step_time_sec': 4.48, 'avg_step_time_sec': 6.42, 'time_to_completion_sec': 6.42, 'estimated_total_time_sec': 128.32, 'step_peak_memory_allocated_MB': 22179.11, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 18305.52, 'avg_tokens_per_second': 15827.63}
{'loss': 1.0135, 'grad_norm': 1.0053991079330444, 'learning_rate': 0.0, 'epoch': 0.11, 'num_input_tokens_seen': 2014208, 'step': 20, 'step_time_sec': 6.83, 'avg_step_time_sec': 6.44, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 128.75, 'step_peak_memory_allocated_MB': 22772.05, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 14397.26, 'avg_tokens_per_second': 15747.78}
{'train_runtime': 130.906, 'train_samples_per_second': 39.112, 'train_steps_per_second': 0.153, 'train_loss': 1.145054692029953, 'epoch': 0.11, 'num_input_tokens_seen': 2014208, 'step': 20, 'step_time_sec': 6.83, 'avg_step_time_sec': 6.44, 'time_to_completion_sec': 0.0, 'estimated_total_time_sec': 128.75, 'step_peak_memory_allocated_MB': 22772.05, 'step_peak_memory_reserved_MB': 56660.0, 'total_peak_memory_allocated_MB': 30485.87, 'total_peak_memory_reserved_MB': 56660.0, 'step_tokens_per_second': 14397.26, 'avg_tokens_per_second': 15747.78}
