{'loss': 1.4273, 'grad_norm': 15.70380973815918, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 8064}
{'loss': 1.1879, 'grad_norm': 10.965520858764648, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 18816, 'step': 2, 'step_time_sec': 0.86, 'avg_step_time_sec': 0.86, 'time_to_completion_sec': 15.54, 'estimated_total_time_sec': 17.27, 'step_peak_memory_allocated_MB': 18237.55, 'step_peak_memory_reserved_MB': 22920.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 22920.0, 'step_tokens_per_second': 12452.73, 'avg_tokens_per_second': 12452.73}
{'loss': 1.4624, 'grad_norm': 12.854972839355469, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 27392, 'step': 3, 'step_time_sec': 0.62, 'avg_step_time_sec': 0.74, 'time_to_completion_sec': 12.6, 'estimated_total_time_sec': 14.82, 'step_peak_memory_allocated_MB': 18237.49, 'step_peak_memory_reserved_MB': 23296.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23296.0, 'step_tokens_per_second': 13856.61, 'avg_tokens_per_second': 13038.89}
{'loss': 1.3269, 'grad_norm': 8.847500801086426, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.0, 'num_input_tokens_seen': 35968, 'step': 4, 'step_time_sec': 0.78, 'avg_step_time_sec': 0.75, 'time_to_completion_sec': 12.05, 'estimated_total_time_sec': 15.07, 'step_peak_memory_allocated_MB': 18237.48, 'step_peak_memory_reserved_MB': 23296.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23296.0, 'step_tokens_per_second': 11025.22, 'avg_tokens_per_second': 12345.88}
{'loss': 1.3459, 'grad_norm': 7.909143447875977, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.0, 'num_input_tokens_seen': 42752, 'step': 5, 'step_time_sec': 0.46, 'avg_step_time_sec': 0.68, 'time_to_completion_sec': 10.19, 'estimated_total_time_sec': 13.59, 'step_peak_memory_allocated_MB': 18237.5, 'step_peak_memory_reserved_MB': 23298.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23298.0, 'step_tokens_per_second': 14801.61, 'avg_tokens_per_second': 12759.9}
{'loss': 1.1889, 'grad_norm': 5.787871837615967, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.0, 'num_input_tokens_seen': 49536, 'step': 6, 'step_time_sec': 0.53, 'avg_step_time_sec': 0.65, 'time_to_completion_sec': 9.1, 'estimated_total_time_sec': 13.0, 'step_peak_memory_allocated_MB': 18237.51, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 12785.66, 'avg_tokens_per_second': 12764.11}
{'loss': 1.0899, 'grad_norm': 4.905603885650635, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.0, 'num_input_tokens_seen': 57088, 'step': 7, 'step_time_sec': 0.6, 'avg_step_time_sec': 0.64, 'time_to_completion_sec': 8.33, 'estimated_total_time_sec': 12.82, 'step_peak_memory_allocated_MB': 18237.52, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 12677.91, 'avg_tokens_per_second': 12750.75}
{'loss': 1.1178, 'grad_norm': 4.196194171905518, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 63744, 'step': 8, 'step_time_sec': 0.49, 'avg_step_time_sec': 0.62, 'time_to_completion_sec': 7.43, 'estimated_total_time_sec': 12.38, 'step_peak_memory_allocated_MB': 18237.49, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 13677.4, 'avg_tokens_per_second': 12854.86}
{'loss': 0.952, 'grad_norm': 3.8474936485290527, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 69120, 'step': 9, 'step_time_sec': 0.42, 'avg_step_time_sec': 0.59, 'time_to_completion_sec': 6.53, 'estimated_total_time_sec': 11.87, 'step_peak_memory_allocated_MB': 18237.49, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 12928.61, 'avg_tokens_per_second': 12861.32}
{'loss': 0.9429, 'grad_norm': 3.5486385822296143, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 76928, 'step': 10, 'step_time_sec': 0.55, 'avg_step_time_sec': 0.59, 'time_to_completion_sec': 5.89, 'estimated_total_time_sec': 11.78, 'step_peak_memory_allocated_MB': 18237.5, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 14138.26, 'avg_tokens_per_second': 12994.39}
{'loss': 1.1404, 'grad_norm': 4.339531898498535, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 82816, 'step': 11, 'step_time_sec': 0.5, 'avg_step_time_sec': 0.58, 'time_to_completion_sec': 5.22, 'estimated_total_time_sec': 11.59, 'step_peak_memory_allocated_MB': 18237.48, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 11855.99, 'avg_tokens_per_second': 12896.85}
{'loss': 0.9231, 'grad_norm': 2.845454692840576, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.01, 'num_input_tokens_seen': 91520, 'step': 12, 'step_time_sec': 0.71, 'avg_step_time_sec': 0.59, 'time_to_completion_sec': 4.73, 'estimated_total_time_sec': 11.83, 'step_peak_memory_allocated_MB': 18237.49, 'step_peak_memory_reserved_MB': 23354.0, 'total_peak_memory_allocated_MB': 18237.55, 'total_peak_memory_reserved_MB': 23354.0, 'step_tokens_per_second': 12296.73, 'avg_tokens_per_second': 12831.54}
